この表の下をスワイプしてご覧いただけます。                                                                                                                                                                                                                                                                                                                        ,,,,,,,,,
日付,試合開始時刻,ホームチーム,ホームの得点,-,アウェイの得点,アウェイチーム,試合会場,,
03/26,15:30,調布北,3,-,3,法政大学,西町グラウンド,,
04/04,10:00,日野台B,1,-,1,法政大学,都立日野台グラウンド,,1部リーグ所属
04/02,13:30,調布北,1,-,2,富士森,西町グラウンド,,府中東
04/05,14:00,穎明館,1,-,6,富士森,穎明館,,立川
04/12,13:30,穎明館,0,-,1,立川,穎明館,,富士森
04/12,13:00,法政大学,3,-,2,永山,法政,,法政大学
04/19,9:30,立川,0,-,1,調布北,立川高校,,永山
04/19,9:00,富士森,4,-,1,日野台B,富士森高校,,日野台B
04/12,9:45,工学院,0,-,0,府中東,工学院大学,,調布北
05/05,13:45,工学院,4,-,1,調布北,工学院,,穎明館
05/06,9:45,穎明館,4,-,2,府中東,穎明館グラウンド,,工学院
05/10,9:30,立川,1,-,0,工学院,立川高校,,
05/10,9:00,府中東,2,-,1,日野台B,府中東高校,,ここを変更するとチーム名がすべて変更されます。
05/31,9:00,立川,0,-,0,日野台B,立川高校,,
06/07,9:00,立川,0,-,0,永山,立川高校,,
06/07,16:00,府中東,3,-,1,調布北,南豊ヶ丘フィールド,,
06/14,9:00,富士森,4,-,1,法政大学,富士森高校,,
06/14,13:40,穎明館,3,-,1,工学院,穎明館グラウンド,,
06/14,16:00,府中東,0,-,3,永山,南豊ヶ丘フィールド,,
06/21,14:00,穎明館,4,-,3,調布北,穎明館高校,,
09/01,13:30,富士森,1,-,2,永山,浅川スポーツ公園,,
09/08,9:00,立川,1,-,2,富士森,日野浅川グラウンド,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
