この表の下をスワイプしてご覧いただけます。                                                                                                                                                                                                                                                                                                                        ,,,,,,,,,
日付,試合開始時刻,ホームチーム,ホームの得点,-,アウェイの得点,アウェイチーム,試合会場,,
04/05,15:45,南平,2,-,1,八王子実践,南平高校,,
04/05,16:10,明大明治C,0,-,3,府中,明大明治G,,1部リーグ所属
04/12,9:00,府中西,5,-,2,GA,府中西高校,,GA
04/12,16:00,明大明治C,0,-,8,明星学園C,明大明治G,,LSS MITAKA
04/19,9:15,府中西,2,-,1,南平,府中西高校,,南平
05/03,10:20,南平,1,-,2,府中,浅川スポーツ公園グランド,,府中
05/05,9:00,府中西,3,-,0,調布南B,府中西高校,,調布南B
04/08,19:15,LSS MITAKA,0,-,6,明星学園C,大沢総合グラウンド,,府中西
04/22,19:15,LSS MITAKA,3,-,0,明大明治C,大沢総合グラウンド,,明大明治C
05/02,19:10,明星学園C,6,-,2,GA,フロンタウン生田,,八王子実践
05/03,13:30,明星学園C,5,-,0,八王子実践,明星学園,,明星学園C
05/27,19:10,LSS MITAKA,0,-,0,府中西,大沢総合グラウンド,,
05/31,13:45,府中西,2,-,0,府中,府中西高校,,ここを変更するとチーム名がすべて変更されます。
05/06,15:30,明大明治C,1,-,2,GA,明大明治会場,,
06/07,13:45,府中西,1,-,2,明星学園C,府中西高校,,
06/05,16:45,調布南B,0,-,1,府中,尽性園グラウンド,,
06/07,16:15,明大明治C,0,-,8,南平,明大明治,,
06/14,16:10,明大明治C,0,-,0,八王子実践,明大明治,,
06/14,13:34,調布南B,0,-,4,GA,調布南高校,,
06/21,10:00,調布南B,0,-,2,南平,調布南高校,,
06/10,19:00,LSS MITAKA,4,-,2,府中,大沢総合グラウンド,,
06/17,19:00,LSS MITAKA,0,-,1,調布南B,大沢総合グラウンド,,
06/21,19:10,LSS MITAKA,1,-,1,八王子実践,大沢総合グラウンド,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
