相手,段数,目安の得点差,重み,経路,試合1,試合2,試合3
昭和第一,3,0,0.0206,武蔵丘 → 野津田 → 淑徳巣鴨 → 昭和第一,武蔵丘 ○ 2-1 野津田（2024 選手権 2回戦）,野津田 ○ 2-1 淑徳巣鴨（2025 選手権 ブロック決勝）,淑徳巣鴨 × 1-3 昭和第一（2022 新人戦 1回戦）
昭和第一,3,0,0.0144,武蔵丘 → 明大中野 → 鷺宮 → 昭和第一,武蔵丘 × 1-3 明大中野（2022 新人戦 3回戦）,明大中野 ○ 1-1 PK勝 5-4 鷺宮（2024 新人戦 2回戦）,鷺宮 ○ 4-2 昭和第一（2024 選手権 1回戦）
昭和第一,3,3,0.0144,武蔵丘 → 明大中野 → 武蔵 → 昭和第一,武蔵丘 × 1-3 明大中野（2022 新人戦 3回戦）,明大中野 ○ 2-0 武蔵（2024 新人戦 準決勝）,武蔵 ○ 4-1 昭和第一（2024 総体 1回戦）
昭和第一,3,1,0.0144,武蔵丘 → 杉並 → 淑徳巣鴨 → 昭和第一,武蔵丘 ○ 8-1 杉並（2023 新人戦 2回戦）,杉並 × 1-3 淑徳巣鴨（2025 選手権 2回戦）,淑徳巣鴨 × 1-3 昭和第一（2022 新人戦 1回戦）
昭和第一,3,0,0.0144,武蔵丘 → 学大国際 → 武蔵 → 昭和第一,武蔵丘 ○ 3-1 学大国際（2024 新人戦 2回戦）,学大国際 × 0-6 武蔵（2022 選手権 2回戦）,武蔵 ○ 4-1 昭和第一（2024 総体 1回戦）
昭和第一,3,8,0.0144,武蔵丘 → 中大杉並 → 東京電機大学 → 昭和第一,武蔵丘 ○ 2-1 中大杉並（2024 新人戦 3回戦）,中大杉並 ○ 3-0 東京電機大学（2024 選手権 2回戦）,東京電機大学 ○ 4-0 昭和第一（2022 選手権 2回戦）
昭和第一,3,3,0.0144,武蔵丘 → 日大鶴ヶ丘 → 武蔵 → 昭和第一,武蔵丘 × 2-3 日大鶴ヶ丘（2024 新人戦 準々決勝）,日大鶴ヶ丘 ○ 1-0 武蔵（2022 新人戦 準決勝）,武蔵 ○ 4-1 昭和第一（2024 総体 1回戦）
昭和第一,3,2,0.0144,武蔵丘 → 目黒 → 明大明治 → 昭和第一,武蔵丘 ○ 2-0 目黒（2025 総体 2回戦）,目黒 × 0-8 明大明治（2022 選手権 1回戦）,明大明治 ○ 6-1 昭和第一（2023 選手権 2回戦）
昭和第一,3,4,0.0144,武蔵丘 → 保善 → 淑徳巣鴨 → 昭和第一,武蔵丘 × 0-5 保善（2023 選手権 2回戦）,保善 ○ 6-1 淑徳巣鴨（2023 選手権 ブロック決勝）,淑徳巣鴨 ○ 4-0 昭和第一（2024 新人戦 2回戦）
昭和第一,3,4,0.0144,武蔵丘 → 野津田 → 武蔵 → 昭和第一,武蔵丘 ○ 2-1 野津田（2024 選手権 2回戦）,野津田 × 1-1 PK負 2-4 武蔵（2022 選手権 2回戦）,武蔵 ○ 4-1 昭和第一（2024 総体 1回戦）
