相手,段数,目安の得点差,重み,経路,試合1,試合2,試合3
学習院,3,-1,0.0144,武蔵丘 → 杉並学院 → 成城学園 → 学習院,武蔵丘 × 2-3 杉並学院（2023 新人戦 3回戦）,杉並学院 × 0-1 成城学園（2023 総体 ブロック決勝）,成城学園 ○ 2-1 学習院（2024 総体 1回戦）
学習院,3,1,0.0144,武蔵丘 → 中大杉並 → 葛飾商業 → 学習院,武蔵丘 ○ 2-1 中大杉並（2024 新人戦 3回戦）,中大杉並 ○ 9-0 葛飾商業（2023 選手権 1回戦）,葛飾商業 × 0-6 学習院（2023 総体 2回戦）
学習院,3,1,0.0144,武蔵丘 → 日大鶴ヶ丘 → 石神井 → 学習院,武蔵丘 × 2-3 日大鶴ヶ丘（2024 新人戦 準々決勝）,日大鶴ヶ丘 ○ 0-0 PK勝 8-7 石神井（2023 新人戦 準々決勝）,石神井 ○ 3-1 学習院（2023 総体 1回戦）
学習院,3,4,0.0144,武蔵丘 → 日大鶴ヶ丘 → 石神井 → 学習院,武蔵丘 × 0-1 日大鶴ヶ丘（2022 総体 ブロック決勝）,日大鶴ヶ丘 ○ 3-0 石神井（2025 新人戦 準決勝）,石神井 ○ 3-1 学習院（2023 総体 1回戦）
学習院,3,-2,0.0144,武蔵丘 → 日大鶴ヶ丘 → 明星学園 → 学習院,武蔵丘 × 0-1 日大鶴ヶ丘（2022 総体 ブロック決勝）,日大鶴ヶ丘 × 3-5 明星学園（2023 総体 1回戦）,明星学園 ○ 2-1 学習院（2025 選手権 2回戦）
学習院,3,1,0.0144,武蔵丘 → 日大鶴ヶ丘 → 専修大学附属 → 学習院,武蔵丘 × 0-1 日大鶴ヶ丘（2022 総体 ブロック決勝）,日大鶴ヶ丘 ○ 5-4 専修大学附属（2026 総体 ブロック決勝）,専修大学附属 ○ 2-1 学習院（2022 選手権 ブロック決勝）
学習院,3,-5,0.0144,武蔵丘 → 豊多摩 → 高輪 → 学習院,武蔵丘 ○ 0-0 PK勝 5-3 豊多摩（2022 総体 2回戦）,豊多摩 × 0-1 高輪（2026 総体 1回戦）,高輪 × 0-4 学習院（2022 選手権 1回戦）
学習院,3,-1,0.0144,武蔵丘 → 目黒日大 → 石神井 → 学習院,武蔵丘 × 0-1 目黒日大（2023 総体 1回戦）,目黒日大 × 1-3 石神井（2024 総体 ブロック決勝）,石神井 ○ 3-1 学習院（2023 総体 1回戦）
学習院,3,0,0.0144,武蔵丘 → 目黒日大 → 明法 → 学習院,武蔵丘 × 0-1 目黒日大（2023 総体 1回戦）,目黒日大 ○ 4-2 明法（2022 選手権 1回戦）,明法 × 0-1 学習院（2025 総体 1回戦）
学習院,3,0,0.0144,武蔵丘 → 目黒日大 → 成城学園 → 学習院,武蔵丘 × 0-1 目黒日大（2023 総体 1回戦）,目黒日大 × 2-2 PK負 3-4 成城学園（2023 選手権 2回戦）,成城学園 ○ 2-1 学習院（2024 総体 1回戦）
学習院,3,-1,0.0144,武蔵丘 → 駒場 → 狛江 → 学習院,武蔵丘 × 0-2 駒場（2024 総体 2回戦）,駒場 × 0-1 狛江（2022 新人戦 準決勝）,狛江 ○ 3-1 学習院（2024 選手権 ブロック決勝）
学習院,3,-5,0.0144,武蔵丘 → 日大二 → 石神井 → 学習院,武蔵丘 × 0-2 日大二（2022 選手権 ブロック決勝）,日大二 × 0-5 石神井（2025 総体 ブロック決勝）,石神井 ○ 3-1 学習院（2023 総体 1回戦）
学習院,3,-6,0.0144,武蔵丘 → 日大二 → 足立学園 → 学習院,武蔵丘 × 0-2 日大二（2022 選手権 ブロック決勝）,日大二 × 0-1 足立学園（2023 選手権 2回戦）,足立学園 × 1-4 学習院（2025 総体 2回戦）
学習院,3,2,0.0144,武蔵丘 → 日大二 → 豊南 → 学習院,武蔵丘 × 0-2 日大二（2022 選手権 ブロック決勝）,日大二 ○ 5-0 豊南（2024 選手権 ブロック決勝）,豊南 × 1-2 学習院（2024 総体 2回戦）
学習院,3,-3,0.0144,武蔵丘 → 保善 → 明治学院 → 学習院,武蔵丘 × 0-5 保善（2023 選手権 2回戦）,保善 ○ 2-1 明治学院（2024 総体 1回戦）,明治学院 ○ 2-1 学習院（2023 選手権 1回戦）
学習院,3,1,0.0144,武蔵丘 → 保善 → 淑徳巣鴨 → 学習院,武蔵丘 × 0-5 保善（2023 選手権 2回戦）,保善 ○ 6-1 淑徳巣鴨（2023 選手権 ブロック決勝）,淑徳巣鴨 ○ 2-1 学習院（2024 新人戦 準決勝）
学習院,3,3,0.0144,武蔵丘 → 野津田 → 成城学園 → 学習院,武蔵丘 ○ 2-1 野津田（2024 選手権 2回戦）,野津田 ○ 2-1 成城学園（2022 総体 ブロック決勝）,成城学園 ○ 2-1 学習院（2024 総体 1回戦）
学習院,3,1,0.0144,武蔵丘 → 野津田 → 晴海総合 → 学習院,武蔵丘 ○ 2-1 野津田（2024 選手権 2回戦）,野津田 ○ 6-0 晴海総合（2022 選手権 1回戦）,晴海総合 × 0-12 学習院（2024 新人戦 2回戦）
学習院,3,-4,0.0101,武蔵丘 → 目黒日大 → 狛江 → 学習院,武蔵丘 × 0-1 目黒日大（2023 総体 1回戦）,目黒日大 × 1-6 狛江（2022 新人戦 3回戦）,狛江 ○ 3-1 学習院（2024 選手権 ブロック決勝）
学習院,3,0,0.0101,武蔵丘 → 目黒日大 → 明治学院 → 学習院,武蔵丘 × 0-1 目黒日大（2023 総体 1回戦）,目黒日大 ○ 1-1 PK勝 7-6 明治学院（2023 選手権 2回戦）,明治学院 ○ 2-1 学習院（2023 選手権 1回戦）
学習院,3,0,0.0101,武蔵丘 → 桜町 → 専修大学附属 → 学習院,武蔵丘 × 0-1 桜町（2025 総体 ブロック決勝）,桜町 × 3-3 PK負 4-5 専修大学附属（2022 総体 2回戦）,専修大学附属 ○ 2-1 学習院（2022 選手権 ブロック決勝）
学習院,3,1,0.0101,武蔵丘 → 昭和第一学園 → 明星学園 → 学習院,武蔵丘 ○ 1-1 PK勝 5-4 昭和第一学園（2022 選手権 2回戦）,昭和第一学園 × 1-1 PK負 4-5 明星学園（2022 総体 ブロック決勝）,明星学園 ○ 2-1 学習院（2025 選手権 2回戦）
学習院,3,-3,0.0101,武蔵丘 → 日大二 → 石神井 → 学習院,武蔵丘 × 0-2 日大二（2022 選手権 ブロック決勝）,日大二 × 0-3 石神井（2024 総体 ブロック決勝）,石神井 ○ 3-1 学習院（2023 総体 1回戦）
学習院,3,-2,0.0071,武蔵丘 → 明大中野 → 専修大学附属 → 学習院,武蔵丘 × 1-3 明大中野（2022 新人戦 3回戦）,明大中野 × 1-2 専修大学附属（2024 総体 1回戦）,専修大学附属 ○ 2-1 学習院（2022 選手権 ブロック決勝）
学習院,3,-8,0.0071,武蔵丘 → 明大中野 → 本郷 → 学習院,武蔵丘 × 1-3 明大中野（2022 新人戦 3回戦）,明大中野 × 0-3 本郷（2024 選手権 2回戦）,本郷 × 1-4 学習院（2022 新人戦 3位決定戦）
学習院,3,2,0.0071,武蔵丘 → 杉並 → 石神井 → 学習院,武蔵丘 ○ 8-1 杉並（2023 新人戦 2回戦）,杉並 × 1-11 石神井（2022 新人戦 3回戦）,石神井 ○ 3-1 学習院（2023 総体 1回戦）
学習院,3,1,0.0071,武蔵丘 → 杉並 → 専修大学附属 → 学習院,武蔵丘 ○ 8-1 杉並（2023 新人戦 2回戦）,杉並 × 0-9 専修大学附属（2023 総体 2回戦）,専修大学附属 ○ 2-1 学習院（2022 選手権 ブロック決勝）
学習院,3,1,0.0071,武蔵丘 → 日大鶴ヶ丘 → 石神井 → 学習院,武蔵丘 × 0-1 日大鶴ヶ丘（2022 総体 ブロック決勝）,日大鶴ヶ丘 ○ 0-0 PK勝 8-7 石神井（2023 新人戦 準々決勝）,石神井 ○ 3-1 学習院（2023 総体 1回戦）
学習院,3,2,0.0071,武蔵丘 → 日大鶴ヶ丘 → 日本大学豊山 → 学習院,武蔵丘 × 2-3 日大鶴ヶ丘（2024 新人戦 準々決勝）,日大鶴ヶ丘 × 0-2 日本大学豊山（2022 総体 ブロック決勝）,日本大学豊山 ○ 6-0 学習院（2022 新人戦 準決勝）
学習院,3,1,0.0071,武蔵丘 → 日大二 → 淑徳巣鴨 → 学習院,武蔵丘 × 0-2 日大二（2022 選手権 ブロック決勝）,日大二 ○ 3-1 淑徳巣鴨（2022 選手権 1回戦）,淑徳巣鴨 ○ 2-1 学習院（2024 新人戦 準決勝）
学習院,3,1,0.0071,武蔵丘 → 野津田 → 晴海総合 → 学習院,武蔵丘 ○ 2-1 野津田（2024 選手権 2回戦）,野津田 ○ 6-0 晴海総合（2022 選手権 1回戦）,晴海総合 × 0-9 学習院（2022 新人戦 3回戦）
学習院,3,1,0.0071,武蔵丘 → 野津田 → 晴海総合 → 学習院,武蔵丘 ○ 2-1 野津田（2024 選手権 2回戦）,野津田 ○ 6-0 晴海総合（2022 選手権 1回戦）,晴海総合 × 0-8 学習院（2022 総体 1回戦）
学習院,3,7,0.0049,武蔵丘 → 杉並 → 専修大学附属 → 学習院,武蔵丘 ○ 8-1 杉並（2023 新人戦 2回戦）,杉並 ○ 1-0 専修大学附属（2022 総体 ブロック決勝）,専修大学附属 ○ 2-1 学習院（2022 選手権 ブロック決勝）
学習院,3,2,0.0049,武蔵丘 → 深沢 → 専修大学附属 → 学習院,武蔵丘 ○ 3-0 深沢（2022 総体 1回戦）,深沢 × 1-3 専修大学附属（2023 総体 1回戦）,専修大学附属 ○ 2-1 学習院（2022 選手権 ブロック決勝）
学習院,3,-2,0.0049,武蔵丘 → 深沢 → 郁文館 → 学習院,武蔵丘 ○ 3-0 深沢（2022 総体 1回戦）,深沢 × 1-2 郁文館（2023 選手権 1回戦）,郁文館 × 0-4 学習院（2022 新人戦 準々決勝）
学習院,3,2,0.0049,武蔵丘 → 昭和第一学園 → 日本大学豊山 → 学習院,武蔵丘 ○ 1-1 PK勝 5-4 昭和第一学園（2022 選手権 2回戦）,昭和第一学園 × 2-5 日本大学豊山（2023 選手権 ブロック決勝）,日本大学豊山 ○ 6-0 学習院（2022 新人戦 準決勝）
学習院,3,2,0.0035,武蔵丘 → 日大鶴ヶ丘 → 日本大学豊山 → 学習院,武蔵丘 × 0-1 日大鶴ヶ丘（2022 総体 ブロック決勝）,日大鶴ヶ丘 × 0-2 日本大学豊山（2022 総体 ブロック決勝）,日本大学豊山 ○ 6-0 学習院（2022 新人戦 準決勝）
板橋有徳,3,3,0.06,武蔵丘 → 城北 → 青稜 → 板橋有徳,武蔵丘 × 0-1 城北（2024 選手権 ブロック決勝）,城北 ○ 3-2 青稜（2024 総体 1回戦）,青稜 ○ 3-0 板橋有徳（2026 総体 ブロック決勝）
板橋有徳,3,2,0.042,武蔵丘 → 明大中野 → 青稜 → 板橋有徳,武蔵丘 × 1-3 明大中野（2022 新人戦 3回戦）,明大中野 ○ 3-2 青稜（2025 選手権 1回戦）,青稜 ○ 3-0 板橋有徳（2026 総体 ブロック決勝）
板橋有徳,3,1,0.042,武蔵丘 → 大泉 → 東京成徳 → 板橋有徳,武蔵丘 ○ 2-1 大泉（2025 新人戦 1回戦）,大泉 × 0-15 東京成徳（2025 選手権 1回戦）,東京成徳 ○ 9-0 板橋有徳（2023 総体 2回戦）
板橋有徳,3,4,0.042,武蔵丘 → 城北 → 東海大学菅生 → 板橋有徳,武蔵丘 × 0-1 城北（2024 選手権 ブロック決勝）,城北 × 2-2 PK負 7-8 東海大学菅生（2024 選手権 1回戦）,東海大学菅生 ○ 15-0 板橋有徳（2025 選手権 1回戦）
板橋有徳,3,5,0.042,武蔵丘 → 都立八丈 → 東海大学菅生 → 板橋有徳,武蔵丘 ○ 6-1 都立八丈（2025 選手権 1回戦）,都立八丈 × 1-15 東海大学菅生（2023 選手権 2回戦）,東海大学菅生 ○ 15-0 板橋有徳（2025 選手権 1回戦）
板橋有徳,3,2,0.0294,武蔵丘 → 保善 → 武蔵野 → 板橋有徳,武蔵丘 × 0-5 保善（2023 選手権 2回戦）,保善 ○ 10-0 武蔵野（2024 総体 2回戦）,武蔵野 ○ 3-1 板橋有徳（2025 新人戦 2回戦）
板橋有徳,3,3,0.0294,武蔵丘 → 城北 → 東海大学菅生 → 板橋有徳,武蔵丘 × 0-1 城北（2024 選手権 ブロック決勝）,城北 × 1-2 東海大学菅生（2023 選手権 1回戦）,東海大学菅生 ○ 15-0 板橋有徳（2025 選手権 1回戦）
板橋有徳,3,9,0.0206,武蔵丘 → 昭和第一学園 → 成城 → 板橋有徳,武蔵丘 ○ 1-1 PK勝 5-4 昭和第一学園（2022 選手権 2回戦）,昭和第一学園 ○ 4-0 成城（2025 選手権 2回戦）,成城 ○ 14-0 板橋有徳（2024 総体 1回戦）
板橋有徳,3,2,0.0206,武蔵丘 → 野津田 → 都・府中工 → 板橋有徳,武蔵丘 ○ 2-1 野津田（2024 選手権 2回戦）,野津田 ○ 14-1 都・府中工（2023 選手権 2回戦）,都・府中工 × 0-4 板橋有徳（2024 選手権 1回戦）
板橋有徳,3,8,0.0206,武蔵丘 → 城北 → 成城 → 板橋有徳,武蔵丘 × 0-1 城北（2024 選手権 ブロック決勝）,城北 ○ 4-0 成城（2023 新人戦 3回戦）,成城 ○ 14-0 板橋有徳（2024 総体 1回戦）
板橋有徳,3,2,0.0144,武蔵丘 → 城北 → 東京成徳 → 板橋有徳,武蔵丘 × 0-1 城北（2024 選手権 ブロック決勝）,城北 × 2-4 東京成徳（2023 新人戦 準々決勝）,東京成徳 ○ 9-0 板橋有徳（2023 総体 2回戦）
板橋有徳,3,6,0.0101,武蔵丘 → 学大国際 → 順天 → 板橋有徳,武蔵丘 ○ 3-1 学大国際（2024 新人戦 2回戦）,学大国際 ○ 1-1 PK勝 10-9 順天（2022 選手権 1回戦）,順天 ○ 5-1 板橋有徳（2023 新人戦 1回戦）
板橋有徳,3,9,0.0101,武蔵丘 → 城北 → 多摩大聖ヶ丘 → 板橋有徳,武蔵丘 × 0-1 城北（2024 選手権 ブロック決勝）,城北 ○ 6-0 多摩大聖ヶ丘（2023 選手権 2回戦）,多摩大聖ヶ丘 ○ 5-0 板橋有徳（2022 選手権 1回戦）
板橋有徳,3,1,0.0071,武蔵丘 → 昭和第一学園 → 都・府中工 → 板橋有徳,武蔵丘 ○ 1-1 PK勝 5-4 昭和第一学園（2022 選手権 2回戦）,昭和第一学園 ○ 24-0 都・府中工（2022 新人戦 2回戦）,都・府中工 × 0-4 板橋有徳（2024 選手権 1回戦）
板橋有徳,3,0,0.0071,武蔵丘 → 保善 → 東京成徳 → 板橋有徳,武蔵丘 × 0-5 保善（2023 選手権 2回戦）,保善 ○ 2-2 PK勝 3-2 東京成徳（2022 新人戦 3回戦）,東京成徳 ○ 9-0 板橋有徳（2023 総体 2回戦）
板橋有徳,3,4,0.0071,武蔵丘 → 保善 → 順天 → 板橋有徳,武蔵丘 × 0-5 保善（2023 選手権 2回戦）,保善 ○ 6-0 順天（2022 総体 2回戦）,順天 ○ 5-1 板橋有徳（2023 新人戦 1回戦）
城東,2,-1,0.1715,武蔵丘 → 都・府中 → 城東,武蔵丘 ○ 4-0 都・府中（2023 選手権 1回戦）,都・府中 × 0-6 城東（2026 選手権 1回戦）,
城東,3,1,0.1225,武蔵丘 → 明大世田谷 → 開成 → 城東,武蔵丘 × 6-7 明大世田谷（2026 総体 2回戦）,明大世田谷 × 0-1 開成（2026 総体 ブロック決勝）,開成 ○ 3-0 城東（2024 新人戦 3位決定戦）
城東,3,1,0.06,武蔵丘 → 中大杉並 → 光丘 → 城東,武蔵丘 ○ 2-1 中大杉並（2024 新人戦 3回戦）,中大杉並 ○ 3-0 光丘（2026 総体 2回戦）,光丘 × 2-5 城東（2024 選手権 2回戦）
城東,3,-1,0.06,武蔵丘 → 大泉 → 都・東大和南 → 城東,武蔵丘 ○ 2-1 大泉（2025 新人戦 1回戦）,大泉 × 0-10 都・東大和南（2024 選手権 2回戦）,都・東大和南 ○ 3-0 城東（2025 選手権 ブロック決勝）
城東,3,2,0.042,武蔵丘 → 日大鶴ヶ丘 → 南葛飾 → 城東,武蔵丘 × 2-3 日大鶴ヶ丘（2024 新人戦 準々決勝）,日大鶴ヶ丘 ○ 2-0 南葛飾（2024 総体 1回戦）,南葛飾 ○ 2-1 城東（2025 新人戦 3位決定戦）
城東,3,-2,0.042,武蔵丘 → 桜町 → 都・府中 → 城東,武蔵丘 × 0-1 桜町（2025 総体 ブロック決勝）,桜町 ○ 4-0 都・府中（2022 選手権 2回戦）,都・府中 × 0-6 城東（2026 選手権 1回戦）
城東,3,-1,0.042,武蔵丘 → 富士 → 日大第一 → 城東,武蔵丘 ○ 5-0 富士（2026 総体 1回戦）,富士 × 0-2 日大第一（2024 選手権 2回戦）,日大第一 × 1-5 城東（2023 総体 2回戦）
城東,3,-2,0.042,武蔵丘 → 富士 → 日大第一 → 城東,武蔵丘 ○ 5-0 富士（2026 総体 1回戦）,富士 × 0-2 日大第一（2024 選手権 2回戦）,日大第一 × 0-11 城東（2023 選手権 1回戦）
城東,3,-9,0.042,武蔵丘 → 保善 → 文京 → 城東,武蔵丘 × 0-5 保善（2023 選手権 2回戦）,保善 ○ 2-1 文京（2025 選手権 2回戦）,文京 × 0-6 城東（2025 総体 2回戦）
城東,3,0,0.042,武蔵丘 → 城北 → 日大第一 → 城東,武蔵丘 × 0-1 城北（2024 選手権 ブロック決勝）,城北 ○ 11-1 日大第一（2026 選手権 1回戦）,日大第一 × 1-5 城東（2023 総体 2回戦）
城東,3,-1,0.042,武蔵丘 → 城北 → 日大第一 → 城東,武蔵丘 × 0-1 城北（2024 選手権 ブロック決勝）,城北 ○ 11-1 日大第一（2026 選手権 1回戦）,日大第一 × 0-11 城東（2023 選手権 1回戦）
城東,3,0,0.0294,武蔵丘 → 中大杉並 → 光丘 → 城東,武蔵丘 ○ 2-1 中大杉並（2024 新人戦 3回戦）,中大杉並 ○ 2-0 光丘（2024 新人戦 2回戦）,光丘 × 2-5 城東（2024 選手権 2回戦）
城東,3,1,0.0294,武蔵丘 → 日大鶴ヶ丘 → 南葛飾 → 城東,武蔵丘 × 2-3 日大鶴ヶ丘（2024 新人戦 準々決勝）,日大鶴ヶ丘 ○ 2-0 南葛飾（2024 総体 1回戦）,南葛飾 ○ 0-0 PK勝 5-3 城東（2024 選手権 ブロック決勝）
城東,3,1,0.0294,武蔵丘 → 日大鶴ヶ丘 → 都・東大和南 → 城東,武蔵丘 × 2-3 日大鶴ヶ丘（2024 新人戦 準々決勝）,日大鶴ヶ丘 × 0-1 都・東大和南（2023 選手権 2回戦）,都・東大和南 ○ 3-0 城東（2025 選手権 ブロック決勝）
城東,3,-3,0.0294,武蔵丘 → 大泉 → 都・東大和南 → 城東,武蔵丘 ○ 2-1 大泉（2025 新人戦 1回戦）,大泉 × 0-10 都・東大和南（2024 選手権 2回戦）,都・東大和南 ○ 2-1 城東（2023 選手権 2回戦）
城東,3,6,0.0294,武蔵丘 → 学大附 → 学習院 → 城東,武蔵丘 ○ 1-1 PK勝 4-3 学大附（2022 選手権 1回戦）,学大附 ○ 1-0 学習院（2026 総体 1回戦）,学習院 ○ 7-0 城東（2024 総体 ブロック決勝）
城東,3,1,0.0294,武蔵丘 → 星槎国際八王子 → 関東第一 → 城東,武蔵丘 × 1-1 PK負 2-4 星槎国際八王子（2025 選手権 2回戦）,星槎国際八王子 × 1-3 関東第一（2024 総体 1回戦）,関東第一 ○ 3-0 城東（2023 新人戦 準決勝）
城東,3,-1,0.0206,武蔵丘 → 学大国際 → 光丘 → 城東,武蔵丘 ○ 3-1 学大国際（2024 新人戦 2回戦）,学大国際 × 1-1 PK負 3-5 光丘（2023 総体 1回戦）,光丘 × 2-5 城東（2024 選手権 2回戦）
城東,3,2,0.0206,武蔵丘 → 日大鶴ヶ丘 → 南葛飾 → 城東,武蔵丘 × 2-3 日大鶴ヶ丘（2024 新人戦 準々決勝）,日大鶴ヶ丘 ○ 2-0 南葛飾（2024 総体 1回戦）,南葛飾 ○ 5-4 城東（2023 総体 ブロック決勝）
城東,3,2,0.0206,武蔵丘 → 日大鶴ヶ丘 → 南葛飾 → 城東,武蔵丘 × 0-1 日大鶴ヶ丘（2022 総体 ブロック決勝）,日大鶴ヶ丘 ○ 2-0 南葛飾（2024 総体 1回戦）,南葛飾 ○ 2-1 城東（2025 新人戦 3位決定戦）
城東,3,2,0.0206,武蔵丘 → 学大附 → 開成 → 城東,武蔵丘 ○ 1-1 PK勝 4-3 学大附（2022 選手権 1回戦）,学大附 × 1-2 開成（2025 選手権 2回戦）,開成 ○ 3-0 城東（2024 新人戦 3位決定戦）
城東,3,-5,0.0206,武蔵丘 → 昭和第一学園 → 都・府中 → 城東,武蔵丘 ○ 1-1 PK勝 5-4 昭和第一学園（2022 選手権 2回戦）,昭和第一学園 × 0-0 PK負 3-4 都・府中（2023 新人戦 2回戦）,都・府中 × 0-6 城東（2026 選手権 1回戦）
城東,3,1,0.0206,武蔵丘 → 城北 → 淑徳 → 城東,武蔵丘 × 0-1 城北（2024 選手権 ブロック決勝）,城北 ○ 3-0 淑徳（2022 選手権 1回戦）,淑徳 × 1-2 城東（2025 選手権 2回戦）
城東,3,4,0.0206,武蔵丘 → 都立八丈 → 私立正則学園 → 城東,武蔵丘 ○ 6-1 都立八丈（2025 選手権 1回戦）,都立八丈 × 0-8 私立正則学園（2024 新人戦 3回戦）,私立正則学園 ○ 4-0 城東（2022 選手権 ブロック決勝）
城東,3,1,0.0144,武蔵丘 → 日大鶴ヶ丘 → 南葛飾 → 城東,武蔵丘 × 2-3 日大鶴ヶ丘（2024 新人戦 準々決勝）,日大鶴ヶ丘 ○ 2-0 南葛飾（2024 総体 1回戦）,南葛飾 ○ 0-0 PK勝 8-7 城東（2022 新人戦 準々決勝）
城東,3,1,0.0144,武蔵丘 → 日大鶴ヶ丘 → 南葛飾 → 城東,武蔵丘 × 0-1 日大鶴ヶ丘（2022 総体 ブロック決勝）,日大鶴ヶ丘 ○ 2-0 南葛飾（2024 総体 1回戦）,南葛飾 ○ 0-0 PK勝 5-3 城東（2024 選手権 ブロック決勝）
城東,3,-1,0.0144,武蔵丘 → 日大鶴ヶ丘 → 都・東大和南 → 城東,武蔵丘 × 2-3 日大鶴ヶ丘（2024 新人戦 準々決勝）,日大鶴ヶ丘 × 0-1 都・東大和南（2023 選手権 2回戦）,都・東大和南 ○ 2-1 城東（2023 選手権 2回戦）
城東,3,1,0.0144,武蔵丘 → 日大鶴ヶ丘 → 都・東大和南 → 城東,武蔵丘 × 0-1 日大鶴ヶ丘（2022 総体 ブロック決勝）,日大鶴ヶ丘 × 0-1 都・東大和南（2023 選手権 2回戦）,都・東大和南 ○ 3-0 城東（2025 選手権 ブロック決勝）
城東,3,-1,0.0144,武蔵丘 → 駒場 → 光丘 → 城東,武蔵丘 × 0-2 駒場（2024 総体 2回戦）,駒場 ○ 4-0 光丘（2022 総体 ブロック決勝）,光丘 × 2-5 城東（2024 選手権 2回戦）
城東,3,3,0.0144,武蔵丘 → 昭和第一学園 → 都・東大和南 → 城東,武蔵丘 ○ 1-1 PK勝 5-4 昭和第一学園（2022 選手権 2回戦）,昭和第一学園 ○ 1-1 PK勝 5-3 都・東大和南（2023 総体 2回戦）,都・東大和南 ○ 3-0 城東（2025 選手権 ブロック決勝）
城東,3,4,0.0144,武蔵丘 → 城北 → 開成 → 城東,武蔵丘 × 0-1 城北（2024 選手権 ブロック決勝）,城北 ○ 2-0 開成（2022 選手権 ブロック決勝）,開成 ○ 3-0 城東（2024 新人戦 3位決定戦）
城東,3,0,0.0101,武蔵丘 → 明大中野 → 安田学園 → 城東,武蔵丘 × 1-3 明大中野（2022 新人戦 3回戦）,明大中野 ○ 7-0 安田学園（2024 選手権 1回戦）,安田学園 × 1-4 城東（2023 新人戦 2回戦）
城東,3,2,0.0101,武蔵丘 → 日大鶴ヶ丘 → 南葛飾 → 城東,武蔵丘 × 0-1 日大鶴ヶ丘（2022 総体 ブロック決勝）,日大鶴ヶ丘 ○ 2-0 南葛飾（2024 総体 1回戦）,南葛飾 ○ 5-4 城東（2023 総体 ブロック決勝）
城東,3,1,0.0101,武蔵丘 → 日大二 → 私立正則学園 → 城東,武蔵丘 × 0-2 日大二（2022 選手権 ブロック決勝）,日大二 × 0-1 私立正則学園（2025 選手権 ブロック決勝）,私立正則学園 ○ 4-0 城東（2022 選手権 ブロック決勝）
城東,3,1,0.0071,武蔵丘 → 日大鶴ヶ丘 → 南葛飾 → 城東,武蔵丘 × 0-1 日大鶴ヶ丘（2022 総体 ブロック決勝）,日大鶴ヶ丘 ○ 2-0 南葛飾（2024 総体 1回戦）,南葛飾 ○ 0-0 PK勝 8-7 城東（2022 新人戦 準々決勝）
城東,3,-1,0.0071,武蔵丘 → 日大鶴ヶ丘 → 都・東大和南 → 城東,武蔵丘 × 0-1 日大鶴ヶ丘（2022 総体 ブロック決勝）,日大鶴ヶ丘 × 0-1 都・東大和南（2023 選手権 2回戦）,都・東大和南 ○ 2-1 城東（2023 選手権 2回戦）
城東,3,-4,0.0071,武蔵丘 → 目黒日大 → 日大第一 → 城東,武蔵丘 × 0-1 目黒日大（2023 総体 1回戦）,目黒日大 ○ 2-1 日大第一（2022 選手権 2回戦）,日大第一 × 1-5 城東（2023 総体 2回戦）
城東,3,-5,0.0071,武蔵丘 → 目黒日大 → 日大第一 → 城東,武蔵丘 × 0-1 目黒日大（2023 総体 1回戦）,目黒日大 ○ 2-1 日大第一（2022 選手権 2回戦）,日大第一 × 0-11 城東（2023 選手権 1回戦）
城東,3,1,0.0071,武蔵丘 → 昭和第一学園 → 都・東大和南 → 城東,武蔵丘 ○ 1-1 PK勝 5-4 昭和第一学園（2022 選手権 2回戦）,昭和第一学園 ○ 1-1 PK勝 5-3 都・東大和南（2023 総体 2回戦）,都・東大和南 ○ 2-1 城東（2023 選手権 2回戦）
都・東村山,3,3,0.0857,武蔵丘 → 星槎国際八王子 → 工学院大附 → 都・東村山,武蔵丘 × 1-1 PK負 2-4 星槎国際八王子（2025 選手権 2回戦）,星槎国際八王子 ○ 4-0 工学院大附（2024 新人戦 1回戦）,工学院大附 × 2-3 都・東村山（2026 総体 1回戦）
都・東村山,3,0,0.0857,武蔵丘 → 星槎国際八王子 → 拓殖大学第一 → 都・東村山,武蔵丘 × 1-1 PK負 2-4 星槎国際八王子（2025 選手権 2回戦）,星槎国際八王子 × 0-5 拓殖大学第一（2025 総体 ブロック決勝）,拓殖大学第一 ○ 8-0 都・東村山（2025 総体 1回戦）
都・東村山,2,3,0.084,武蔵丘 → 都立八丈 → 都・東村山,武蔵丘 ○ 6-1 都立八丈（2025 選手権 1回戦）,都立八丈 × 2-4 都・東村山（2022 選手権 1回戦）,
都・東村山,3,1,0.06,武蔵丘 → 大泉 → 都・東大和南 → 都・東村山,武蔵丘 ○ 2-1 大泉（2025 新人戦 1回戦）,大泉 × 0-10 都・東大和南（2024 選手権 2回戦）,都・東大和南 ○ 7-0 都・東村山（2025 新人戦 2回戦）
都・東村山,3,5,0.06,武蔵丘 → 駒場 → 拓殖大学第一 → 都・東村山,武蔵丘 × 0-2 駒場（2024 総体 2回戦）,駒場 ○ 2-0 拓殖大学第一（2025 総体 1回戦）,拓殖大学第一 ○ 8-0 都・東村山（2025 総体 1回戦）
都・東村山,3,6,0.042,武蔵丘 → 日大鶴ヶ丘 → 拓殖大学第一 → 都・東村山,武蔵丘 × 2-3 日大鶴ヶ丘（2024 新人戦 準々決勝）,日大鶴ヶ丘 ○ 2-0 拓殖大学第一（2024 総体 ブロック決勝）,拓殖大学第一 ○ 8-0 都・東村山（2025 総体 1回戦）
