年度,大会,段階,日付,チームA,学校A,チームB,学校B,得点A,得点B,PK_A,PK_B,出典
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-12-14,都立東,東,都立小松川,小松川,1,4,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,都立葛西工,葛西工,都立科学技術,科学技術,0,3,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,都立篠崎,篠崎,都立日本橋,日本橋,3,4,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,都立橘,橘,都立葛飾総合,葛飾総合,0,3,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,開成,開成,都立深川,深川,2,1,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,都立紅葉川,紅葉川,安田学園,安田学園,4,1,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,竹台,竹台,東,東,0,12,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,都立小松川,小松川,都立墨田工,墨田工,3,0,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,立志舎,立志舎,都立農産,農産,1,7,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,日大一,日大一,都立小岩,小岩,0,4,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,都立江戸川,江戸川,都立葛西南,葛西南,4,1,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,都立両国,両国,都立本所,本所,2,3,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,第三商業,第三商業,都立葛飾商,葛飾商,1,5,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-23,都立墨田川,墨田川,都立科学技術,科学技術,7,0,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-23,都立日本橋,日本橋,都立葛飾総合,葛飾総合,3,4,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-23,開成,開成,都立紅葉川,紅葉川,2,1,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-23,都立東,東,都立葛飾野,葛飾野,0,0,4,3,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-23,かえつ有明,かえつ有明,都立小松川,小松川,1,4,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-23,都立農産,農産,都立小岩,小岩,0,8,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-23,都立江戸川,江戸川,都立本所,本所,2,1,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-23,都立葛飾商,葛飾商,都立城東,城東,0,3,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-30,都立墨田川,墨田川,都立葛飾総合,葛飾総合,1,0,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-30,開成,開成,都立東,東,0,0,1,4,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-30,都立小松川,小松川,都立小岩,小岩,5,0,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-30,都立江戸川,江戸川,都立城東,城東,0,5,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-12-07,都立墨田川,墨田川,都立東,東,1,0,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-12-07,都立小松川,小松川,都立城東,城東,0,2,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-12-14,都立墨田川,墨田川,都立城東,城東,0,3,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-12-23,都立豊島,豊島,都立江北,江北,0,0,4,5,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-16,京北・京北白山,京北・京北白山,中大附,中大附属,0,4,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-16,郁文館,郁文館,本郷,本郷,2,3,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-16,獨協,獨協,都立足立,足立,0,5,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-16,都立足立東,足立東,都立文京,文京,0,10,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-16,都立豊島,豊島,豊島学院,豊島学院,1,0,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-16,筑波大附,筑波大学附属,京華商,京華商,3,2,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-16,都立青井,青井,都立荒川商,荒川商,4,0,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-16,小石川,小石川中等教育,京華,京華,4,0,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-16,足立学園,足立学園,都立淵江,淵江,2,0,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-16,都立足立工,足立工,都立江北,江北,0,10,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-22,淑徳巣鴨,淑徳巣鴨,都立足立西,足立西,2,0,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-22,城西大城西,城西大城西,都立竹早,竹早,1,1,5,6,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-22,豊南,豊南,都立足立新田,足立新田,0,3,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-22,巣鴨,巣鴨,貞静学園,貞静学園,6,0,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-22,都立千早,千早,昭和一,昭和一,1,7,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-24,日大豊山,日大豊山,中大附,中大附属,1,0,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-24,向丘,向丘,学習院,学習院,1,1,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-24,立教池袋,立教池袋,本郷,本郷,1,7,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-24,都立足立,足立,駒込,駒込,4,1,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-30,日大豊山,日大豊山,都立文京,文京,6,0,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-30,淑徳巣鴨,淑徳巣鴨,都立竹早,竹早,1,1,5,6,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-30,都立豊島,豊島,筑波大附,筑波大学附属,4,0,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-30,都立足立新田,足立新田,都立向丘,向丘,2,4,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-30,本郷,本郷,巣鴨,巣鴨,6,1,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-30,都立青井,青井,都立小石川中等教育学校,小石川中等教育学校,2,3,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-30,足立学園,足立学園,都立江北,江北,1,2,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-11-30,昭和一,昭和一,都立足立,足立,1,1,3,5,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-12-14,日大豊山,日大豊山,都立竹早,竹早,2,0,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-12-14,都立豊島,豊島,都立向丘,向丘,2,1,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-12-14,本郷,本郷,都立小石川中等教育学校,小石川中等教育学校,5,1,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-12-14,都立江北,江北,都立足立,足立,4,0,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-12-21,日大豊山,日大豊山,都立豊島,豊島,1,0,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-12-21,本郷,本郷,都立江北,江北,0,0,4,1,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第2地区,2014-12-23,日大豊山,日大豊山,本郷,本郷,4,0,,,https://koko-soccer.com/score/25
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-16,都立青山,青山,都立板橋有徳,板橋有徳,2,0,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-16,都立白鴎,白鴎,都立北園,北園,2,5,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-16,都立広尾,広尾,國學院,国学院,0,2,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-16,上野学園,上野学園,都立板橋,板橋,1,6,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-16,都立戸山,戸山,都立王子総合,王子総合,2,0,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-16,都立上野,上野,聖学院,聖学院,3,1,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-23,東京成徳大高,東京成徳大高,都立青山,青山,1,0,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-23,淑徳,淑徳,早稲田,早稲田,3,3,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-23,都立蔵前工,蔵前工,順天,順天,0,2,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-23,渋谷教育学園渋谷,渋谷教育学園渋谷,日本ウェルネス,日本ウェルネス,0,1,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-23,都立赤羽商,赤羽商,都立北園,北園,1,0,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-23,目白研心,目白研心,海城,海城,1,0,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-23,都立飛鳥,飛鳥,成城,成城,0,6,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-23,國學院,国学院,帝京,帝京,0,3,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-23,芝浦工大高,芝浦工大高,都立板橋,板橋,7,0,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-23,都立新宿,新宿,城北,城北,3,1,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-23,岩倉,岩倉,都立北豊島工,北豊島工,0,0,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-23,都立戸山,戸山,都立大山,大山,1,0,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-23,都立高島,高島,青山学院,青山学院,0,1,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-23,桜丘,桜丘,第一商,第一商,3,1,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-23,武蔵野,武蔵野,大東大一,大東大一,0,4,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-23,都立上野,上野,成立学園,成立学園,0,6,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-24,東京成徳大高,東京成徳大高,淑徳,淑徳,8,1,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-24,順天,順天,日本ウェルネス,日本ウェルネス,0,1,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-24,都立赤羽商,赤羽商,目白研心,目白研心,0,1,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-24,成城,成城,帝京,帝京,0,1,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-24,芝浦工大高,芝浦工大高,都立新宿,新宿,0,2,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-24,都立北豊島工,北豊島工,都立戸山,戸山,0,8,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-24,青山学院,青山学院,桜丘,桜丘,3,0,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-24,大東大一,大東大一,成立学園,成立学園,0,0,5,4,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-30,東京成徳大高,東京成徳大高,日本ウェルネス,日本ウェルネス,0,0,3,4,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-30,目白研心,目白研心,帝京,帝京,0,1,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-30,都立新宿,新宿,都立戸山,戸山,2,0,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-11-30,青山学院,青山学院,大東大一,大東大一,2,4,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-12-07,日本ウェルネス,日本ウェルネス,帝京,帝京,0,5,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-12-07,都立新宿,新宿,大東大一,大東大一,0,1,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第3地区,2014-12-14,帝京,帝京,大東大一,大東大一,5,0,,,https://koko-soccer.com/score/26
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-16,都立田園調布,田園調布,芝,芝,1,2,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-16,都立大田桜台,大田桜台,都立日比谷,日比谷,0,1,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-16,都立小山台,小山台,都立大島海洋国際,大島海洋国際,11,1,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-16,攻玉社,攻玉社,青稜,青稜,0,1,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-16,麻布,麻布,都立芝商業,芝商業,4,0,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-16,二松学舎大附,二松学舎大附,都立大崎,大崎,1,0,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-23,高輪,高輪,東洋,東洋,1,0,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-23,都立三田,三田,正則,正則,0,3,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-23,都立八丈,八丈,明治学院,明治学院,1,3,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-23,都立美原,美原,立正大立正,立正大立正,0,1,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-23,東工大付,東工大付,文教大付,文教大付,5,0,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-23,日体荏原,日体荏原,東京,東京,1,0,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-23,都立大森,大森,麻布,麻布,1,7,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-23,二松学舎大附,二松学舎大附,都立つばさ総合,つばさ総合,0,2,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-24,芝,芝,広尾学園,広尾学園,0,0,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-24,区立九段中等教育,九段中等教育,都立日比谷,日比谷,1,3,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-24,都立蒲田,蒲田,都立小山台,小山台,0,12,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-24,大森学園,大森学園,東海大高輪台,東海大高輪台,0,2,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-24,東京実,東京実,都立八潮,八潮,11,0,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-24,青稜,青稜,朋優学院,朋優学院,2,1,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-24,錦城学園,錦城学園,正則学園,正則学園,0,4,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-24,都立雪谷,雪谷,暁星高等学校,暁星,1,3,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-30,高輪,高輪,正則,正則,5,0,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-30,芝,芝,明治学院,明治学院,0,1,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-30,立正大立正,立正大立正,都立日比谷,日比谷,5,0,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-30,都立小山台,小山台,東海大高輪台,東海大高輪台,0,9,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-30,東京実,東京実,東工大付,東工大付,5,0,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-30,青稜,青稜,正則学園,正則学園,2,0,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-30,日体荏原,日体荏原,麻布,麻布,3,0,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-11-30,都立つばさ総合,つばさ総合,暁星高等学校,暁星,1,6,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-12-21,高輪,高輪,明治学院,明治学院,2,0,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-12-21,立正大立正,立正大立正,東海大高輪台,東海大高輪台,0,2,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-12-21,東京実,東京実,青稜,青稜,3,0,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-12-21,日体荏原,日体荏原,暁星高等学校,暁星,0,3,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-12-23,高輪,高輪,東海大高輪台,東海大高輪台,0,2,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2014-12-23,東京実,東京実,暁星高等学校,暁星,0,0,1,3,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第4地区,2015-01-18,東海大高輪台,東海大高輪台,暁星高等学校,暁星,2,1,,,https://koko-soccer.com/score/27
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-16,東大附,東大附属,都立杉並総合,杉並総合,4,2,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-16,都立杉並工,杉並工,杉並学院,杉並学院,0,5,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-16,都立田無工,田無工,都立杉並,杉並,0,1,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-16,宝仙学園,宝仙学園,都立練馬工,練馬工,3,0,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-16,都立井草,井草,中大杉並,中大杉並,0,5,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-16,都立大泉,大泉,都立練馬,練馬,4,0,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-16,佼成学園,佼成学園,日大二,日大二,1,4,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-16,都立石神井,石神井,都立中野工,中野工,6,0,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-16,日大鶴ヶ丘,日大鶴ヶ丘,都立光丘,光丘,2,1,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-16,東京立正,東京立正,都立田柄,田柄,0,0,3,5,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-16,早大学院,早大学院,都立保谷,保谷,1,2,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-16,都立武蔵丘,武蔵丘,都立第四商,第四商,7,0,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-23,明大中野,明大中野,東大附,東大附属,2,2,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-23,都立豊多摩,豊多摩,都立田無,田無,1,1,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-23,学芸大国際,学芸大国際,都立富士,富士,1,0,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-23,杉並学院,杉並学院,専修大附,専修大附,1,1,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-23,東亜学園,東亜学園,武蔵,武蔵,0,1,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-23,都立杉並,杉並,都立西,西,2,6,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-23,都立鷺宮,鷺宮,都立武蔵丘,武蔵丘,1,3,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-23,宝仙学園,宝仙学園,中大杉並,中大杉並,0,7,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-23,日大二,日大二,都立大泉,大泉,1,1,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-23,都立石神井,石神井,日大鶴ヶ丘,日大鶴ヶ丘,2,0,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-23,都立田柄,田柄,都立保谷,保谷,0,6,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-24,明大中野,明大中野,都立田無,田無,2,0,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-24,学芸大国際,学芸大国際,杉並学院,杉並学院,4,1,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-11-24,武蔵,武蔵,都立西,西,3,1,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-12-14,明大中野,明大中野,中大杉並,中大杉並,2,0,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-12-14,都立大泉,大泉,学芸大国際,学芸大国際,0,1,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-12-14,都立石神井,石神井,都立保谷,保谷,2,0,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-12-14,都立武蔵丘,武蔵丘,都立武蔵,都立武蔵,0,1,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-12-21,明大中野,明大中野,学芸大国際,学芸大国際,2,0,,,https://koko-soccer.com/score/28
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第5地区,2014-12-21,都立石神井,石神井,武蔵,武蔵,1,2,,,https://koko-soccer.com/score/28
