年度,リーグ,ブロック,順位,チーム,学校,区分,勝点,試合,勝,敗,分,得点,失点,得失点,出典
2026,T5,Cブロック,6,攻玉社,攻玉社,A,9,7,2,2,3,12,13,-1,https://www.tleague-u18.com/rank.php?dy=2026&dt=5&ltno=24
2026,T5,Cブロック,7,東海大高輪台C,東海大高輪台,C,7,6,1,1,4,8,8,0,https://www.tleague-u18.com/rank.php?dy=2026&dt=5&ltno=24
2026,T5,Cブロック,8,保谷,保谷,A,7,7,2,4,1,6,9,-3,https://www.tleague-u18.com/rank.php?dy=2026&dt=5&ltno=24
2026,T5,Cブロック,9,杉並ソシオ,杉並ソシオ,A,2,5,0,3,2,6,9,-3,https://www.tleague-u18.com/rank.php?dy=2026&dt=5&ltno=24
2026,T5,Cブロック,10,学習院,学習院,A,2,6,0,4,2,2,7,-5,https://www.tleague-u18.com/rank.php?dy=2026&dt=5&ltno=24
2026,T5,Dブロック,1,駿台学園B,駿台学園,B,15,6,5,1,0,19,9,10,https://www.tleague-u18.com/rank.php?dy=2026&dt=5&ltno=25
2026,T5,Dブロック,2,大森学園B,大森学園,B,13,6,4,1,1,18,10,8,https://www.tleague-u18.com/rank.php?dy=2026&dt=5&ltno=25
2026,T5,Dブロック,3,日大豊山B,日大豊山,B,12,7,4,3,0,11,11,0,https://www.tleague-u18.com/rank.php?dy=2026&dt=5&ltno=25
2026,T5,Dブロック,4,城東,城東,A,12,6,4,2,0,9,13,-4,https://www.tleague-u18.com/rank.php?dy=2026&dt=5&ltno=25
2026,T5,Dブロック,5,城北,城北,A,11,6,3,1,2,11,4,7,https://www.tleague-u18.com/rank.php?dy=2026&dt=5&ltno=25
2026,T5,Dブロック,6,明大八王子,明大八王子,A,9,6,3,3,0,20,15,5,https://www.tleague-u18.com/rank.php?dy=2026&dt=5&ltno=25
2026,T5,Dブロック,7,葛飾野,葛飾野,A,5,6,1,3,2,10,11,-1,https://www.tleague-u18.com/rank.php?dy=2026&dt=5&ltno=25
2026,T5,Dブロック,8,東久留米C,東久留米総合,C,3,6,0,3,3,5,9,-4,https://www.tleague-u18.com/rank.php?dy=2026&dt=5&ltno=25
2026,T5,Dブロック,9,明大明治,明大明治,A,3,7,0,4,3,5,15,-10,https://www.tleague-u18.com/rank.php?dy=2026&dt=5&ltno=25
2026,T5,Dブロック,10,大森FC,大森FC,A,3,6,0,3,3,8,19,-11,https://www.tleague-u18.com/rank.php?dy=2026&dt=5&ltno=25
