年度,リーグ,区分,ホーム,ホーム学校,ホーム区分,アウェイ,アウェイ学校,アウェイ区分,得点H,得点A,出典
2008,地区トップリーグ,グループA,小山台,小山台,,早稲田,早稲田,,3,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,小山台,小山台,,福生,福生,,1,3,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,小山台,小山台,,城東,城東,,2,1,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,小山台,小山台,,駒澤大学,駒澤大高,,0,4,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,小山台,小山台,,関東一,関東第一,,2,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,小山台,小山台,,早大学院,早大学院,,2,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,小山台,小山台,,片倉,片倉,,4,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,早稲田,早稲田,,福生,福生,,1,2,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,早稲田,早稲田,,城東,城東,,2,4,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,早稲田,早稲田,,駒澤大学,駒澤大高,,2,5,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,早稲田,早稲田,,関東一,関東第一,,1,2,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,早稲田,早稲田,,早大学院,早大学院,,0,4,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,早稲田,早稲田,,片倉,片倉,,1,5,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,福生,福生,,城東,城東,,2,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,福生,福生,,駒澤大学,駒澤大高,,0,2,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,福生,福生,,関東一,関東第一,,0,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,福生,福生,,早大学院,早大学院,,1,3,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,福生,福生,,片倉,片倉,,3,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,城東,城東,,駒澤大学,駒澤大高,,1,4,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,城東,城東,,関東一,関東第一,,1,1,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,城東,城東,,早大学院,早大学院,,1,4,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,城東,城東,,片倉,片倉,,2,1,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,駒澤大学,駒澤大高,,関東一,関東第一,,2,1,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,駒澤大学,駒澤大高,,早大学院,早大学院,,2,1,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,駒澤大学,駒澤大高,,片倉,片倉,,2,1,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,関東一,関東第一,,早大学院,早大学院,,2,3,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,関東一,関東第一,,片倉,片倉,,0,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,早大学院,早大学院,,片倉,片倉,,2,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,早大学院B,早大学院,B,國學院久我山B,国学院久我山,B,1,2,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,早大学院B,早大学院,B,佼成学園,佼成学園,,0,1,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,早大学院B,早大学院,B,専大附属,専大附属,,0,1,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,早大学院B,早大学院,B,武蔵丘,武蔵丘,,0,1,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,早大学院B,早大学院,B,東亜学園B,東亜学園,B,2,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,早大学院B,早大学院,B,日大二,日大二,,1,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,國學院久我山B,国学院久我山,B,佼成学園,佼成学園,,2,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,國學院久我山B,国学院久我山,B,専大附属,専大附属,,5,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,國學院久我山B,国学院久我山,B,早大学院C,早大学院,C,2,1,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,國學院久我山B,国学院久我山,B,武蔵丘,武蔵丘,,3,2,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,國學院久我山B,国学院久我山,B,東亜学園B,東亜学園,B,2,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,國學院久我山B,国学院久我山,B,日大二,日大二,,4,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,佼成学園,佼成学園,,専大附属,専大附属,,1,2,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,佼成学園,佼成学園,,早大学院C,早大学院,C,5,1,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,佼成学園,佼成学園,,武蔵丘,武蔵丘,,3,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,佼成学園,佼成学園,,東亜学園B,東亜学園,B,7,3,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,佼成学園,佼成学園,,日大二,日大二,,0,1,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,専大附属,専大附属,,早大学院C,早大学院,C,1,2,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,専大附属,専大附属,,武蔵丘,武蔵丘,,0,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,専大附属,専大附属,,東亜学園B,東亜学園,B,1,4,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,専大附属,専大附属,,日大二,日大二,,0,2,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,早大学院C,早大学院,C,武蔵丘,武蔵丘,,1,2,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,早大学院C,早大学院,C,東亜学園B,東亜学園,B,0,2,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,早大学院C,早大学院,C,日大二,日大二,,1,5,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,武蔵丘,武蔵丘,,東亜学園B,東亜学園,B,4,7,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,武蔵丘,武蔵丘,,日大二,日大二,,5,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,NSリーグ,1部,東亜学園B,東亜学園,B,日大二,日大二,,5,1,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,実践学園,実践学園,,早大学院,早大学院,,4,1,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,実践学園,実践学園,,江戸川,江戸川,,6,0,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,実践学園,実践学園,,福生,福生,,6,0,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,実践学園,実践学園,,松が谷,松が谷,,4,0,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,実践学園,実践学園,,東久留米総合,東久留米総合,,1,2,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,実践学園,実践学園,,駒場,駒場,,5,0,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,実践学園,実践学園,,大東文化第一,大東文化一,,2,3,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,早大学院,早大学院,,江戸川,江戸川,,6,0,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,早大学院,早大学院,,福生,福生,,0,2,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,早大学院,早大学院,,松が谷,松が谷,,0,2,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,早大学院,早大学院,,東久留米総合,東久留米総合,,0,3,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,早大学院,早大学院,,駒場,駒場,,2,3,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,早大学院,早大学院,,大東文化第一,大東文化一,,0,3,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,江戸川,江戸川,,福生,福生,,0,1,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,江戸川,江戸川,,松が谷,松が谷,,0,4,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,江戸川,江戸川,,東久留米総合,東久留米総合,,1,8,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,江戸川,江戸川,,駒場,駒場,,0,6,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,江戸川,江戸川,,大東文化第一,大東文化一,,1,1,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,福生,福生,,松が谷,松が谷,,2,4,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,福生,福生,,東久留米総合,東久留米総合,,0,6,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,福生,福生,,駒場,駒場,,0,8,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,福生,福生,,大東文化第一,大東文化一,,0,3,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,松が谷,松が谷,,東久留米総合,東久留米総合,,0,1,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,松が谷,松が谷,,駒場,駒場,,0,0,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,松が谷,松が谷,,大東文化第一,大東文化一,,3,0,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,東久留米総合,東久留米総合,,駒場,駒場,,4,2,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,東久留米総合,東久留米総合,,大東文化第一,大東文化一,,5,2,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,地区トップリーグ,グループA,駒場,駒場,,大東文化第一,大東文化一,,1,0,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,武蔵,武蔵,,杉並FC,杉並F,C,4,2,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,武蔵,武蔵,,佼成学園,佼成学園,,4,2,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,武蔵,武蔵,,東亜学園B,東亜学園,B,2,1,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,武蔵,武蔵,,武蔵丘,武蔵丘,,2,2,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,武蔵,武蔵,,早大学院B,早大学院,B,3,1,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,武蔵,武蔵,,西A,西A,,8,1,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,武蔵,武蔵,,西B,西B,,3,1,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,杉並FC,杉並F,C,佼成学園,佼成学園,,2,0,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,杉並FC,杉並F,C,東亜学園B,東亜学園,B,1,7,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,杉並FC,杉並F,C,武蔵丘,武蔵丘,,1,2,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,杉並FC,杉並F,C,早大学院B,早大学院,B,5,0,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,杉並FC,杉並F,C,西A,西A,,3,0,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,杉並FC,杉並F,C,西B,西B,,2,2,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,佼成学園,佼成学園,,東亜学園B,東亜学園,B,1,3,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,佼成学園,佼成学園,,武蔵丘,武蔵丘,,2,0,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,佼成学園,佼成学園,,早大学院B,早大学院,B,5,0,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,佼成学園,佼成学園,,西A,西A,,1,2,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,佼成学園,佼成学園,,西B,西B,,0,1,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,東亜学園B,東亜学園,B,武蔵丘,武蔵丘,,6,3,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,東亜学園B,東亜学園,B,早大学院B,早大学院,B,5,2,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,東亜学園B,東亜学園,B,西A,西A,,3,1,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,東亜学園B,東亜学園,B,西B,西B,,3,1,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,武蔵丘,武蔵丘,,早大学院B,早大学院,B,1,2,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,武蔵丘,武蔵丘,,西A,西A,,6,2,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,武蔵丘,武蔵丘,,西B,西B,,3,4,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,早大学院B,早大学院,B,西A,西A,,8,0,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,早大学院B,早大学院,B,西B,西B,,2,3,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,1部,西A,西A,,西B,西B,,0,5,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,早大学院C,早大学院,C,富士,富士,,1,3,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,早大学院C,早大学院,C,豊多摩,豊多摩,,3,1,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,早大学院C,早大学院,C,東京立正,東京立正,,0,0,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,早大学院C,早大学院,C,杉並アヤックス,杉並アヤックス,,6,4,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,早大学院C,早大学院,C,杉並総合,杉並総合,,1,1,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,早大学院C,早大学院,C,日大鶴ヶ丘B,日大鶴ヶ丘,B,0,3,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,早大学院C,早大学院,C,杉並学院,杉並学院,,0,1,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,富士,富士,,豊多摩,豊多摩,,0,2,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,富士,富士,,東京立正,東京立正,,5,1,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,富士,富士,,杉並アヤックス,杉並アヤックス,,7,1,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,富士,富士,,杉並総合,杉並総合,,0,3,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,富士,富士,,日大鶴ヶ丘B,日大鶴ヶ丘,B,1,1,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,富士,富士,,杉並学院,杉並学院,,5,0,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,豊多摩,豊多摩,,東京立正,東京立正,,1,0,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,豊多摩,豊多摩,,杉並アヤックス,杉並アヤックス,,4,1,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,豊多摩,豊多摩,,杉並総合,杉並総合,,0,4,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,豊多摩,豊多摩,,日大鶴ヶ丘B,日大鶴ヶ丘,B,1,1,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,豊多摩,豊多摩,,杉並学院,杉並学院,,3,1,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,東京立正,東京立正,,杉並総合,杉並総合,,1,4,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,東京立正,東京立正,,日大鶴ヶ丘B,日大鶴ヶ丘,B,1,2,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,東京立正,東京立正,,杉並学院,杉並学院,,2,3,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,杉並アヤックス,杉並アヤックス,,杉並総合,杉並総合,,0,4,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,杉並アヤックス,杉並アヤックス,,日大鶴ヶ丘B,日大鶴ヶ丘,B,3,7,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,杉並アヤックス,杉並アヤックス,,杉並学院,杉並学院,,1,5,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,杉並総合,杉並総合,,日大鶴ヶ丘B,日大鶴ヶ丘,B,3,3,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,杉並総合,杉並総合,,杉並学院,杉並学院,,5,4,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2009,NSリーグ,2部Cブロック,日大鶴ヶ丘B,日大鶴ヶ丘,B,杉並学院,杉並学院,,0,1,waseda_2009-地区トップリーグ・NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,國學院久我山Ｂ,国学院久我山,B,早大学院A,早大学院,A,2,1,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,國學院久我山Ｂ,国学院久我山,B,西高Ｂ,西高,B,0,1,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,國學院久我山Ｂ,国学院久我山,B,杉並FC,杉並F,C,1,3,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,國學院久我山Ｂ,国学院久我山,B,武蔵丘,武蔵丘,,1,2,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,國學院久我山Ｂ,国学院久我山,B,日大鶴ヶ丘,日大鶴ヶ丘,,1,2,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,國學院久我山Ｂ,国学院久我山,B,杉並総合,杉並総合,,0,0,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,國學院久我山C,国学院久我山,C,早大学院A,早大学院,A,0,3,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,國學院久我山C,国学院久我山,C,西高Ｂ,西高,B,8,1,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,國學院久我山C,国学院久我山,C,杉並FC,杉並F,C,1,0,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,國學院久我山C,国学院久我山,C,武蔵丘,武蔵丘,,2,1,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,國學院久我山C,国学院久我山,C,日大鶴ヶ丘,日大鶴ヶ丘,,2,0,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,國學院久我山C,国学院久我山,C,杉並総合,杉並総合,,3,0,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,早大学院A,早大学院,A,西高Ｂ,西高,B,0,1,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,早大学院A,早大学院,A,杉並FC,杉並F,C,5,4,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,早大学院A,早大学院,A,武蔵丘,武蔵丘,,2,2,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,早大学院A,早大学院,A,日大鶴ヶ丘,日大鶴ヶ丘,,0,0,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,早大学院A,早大学院,A,杉並総合,杉並総合,,4,1,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,西高Ｂ,西高,B,杉並FC,杉並F,C,1,6,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,西高Ｂ,西高,B,武蔵丘,武蔵丘,,0,1,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,西高Ｂ,西高,B,日大鶴ヶ丘,日大鶴ヶ丘,,0,5,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,西高Ｂ,西高,B,杉並総合,杉並総合,,1,1,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,杉並FC,杉並F,C,武蔵丘,武蔵丘,,1,6,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,杉並FC,杉並F,C,日大鶴ヶ丘,日大鶴ヶ丘,,4,0,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,杉並FC,杉並F,C,杉並総合,杉並総合,,1,0,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,武蔵丘,武蔵丘,,日大鶴ヶ丘,日大鶴ヶ丘,,1,3,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,武蔵丘,武蔵丘,,杉並総合,杉並総合,,4,2,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,1部,日大鶴ヶ丘,日大鶴ヶ丘,,杉並総合,杉並総合,,3,3,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,2部Aブロック,佼成学園,佼成学園,,日大二,日大二,,1,3,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,2部Aブロック,佼成学園,佼成学園,,光丘,光丘,,0,4,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,2部Aブロック,佼成学園,佼成学園,,日大鶴ヶ丘B,日大鶴ヶ丘,B,0,6,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,2部Aブロック,佼成学園,佼成学園,,早大学院C,早大学院,C,1,2,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,2部Aブロック,佼成学園,佼成学園,,東京立正,東京立正,,0,0,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,2部Aブロック,佼成学園,佼成学園,,杉並学院B,杉並学院,B,4,0,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,2部Aブロック,日大二,日大二,,光丘,光丘,,2,2,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,2部Aブロック,日大二,日大二,,日大鶴ヶ丘B,日大鶴ヶ丘,B,0,2,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,2部Aブロック,日大二,日大二,,練馬,練馬,,12,0,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,2部Aブロック,日大二,日大二,,早大学院C,早大学院,C,9,0,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,2部Aブロック,日大二,日大二,,東京立正,東京立正,,7,0,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,2部Aブロック,日大二,日大二,,保谷C,保谷,C,1,2,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,2部Aブロック,日大二,日大二,,杉並学院B,杉並学院,B,4,0,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,2部Aブロック,光丘,光丘,,練馬,練馬,,2,0,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,2部Aブロック,光丘,光丘,,早大学院C,早大学院,C,0,3,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,2部Aブロック,光丘,光丘,,東京立正,東京立正,,5,2,waseda_2010-NSリーグ星取表1･2部.pdf
2010,NSリーグ,2部Aブロック,光丘,光丘,,杉並学院B,杉並学院,B,3,0,waseda_2010-NSリーグ星取表1･2部.pdf
