tid,種類,年度,リーグ名,部,URL
10829,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10829
10830,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10830
10831,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10831
10832,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10832
10835,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10835
10837,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10837
10838,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10838
10839,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10839
10840,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10840
10841,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10841
10884,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10884
10885,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10885
10886,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10886
10887,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10887
109,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/109
10937,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10937
10938,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10938
10939,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10939
10940,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10940
10944,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10944
10945,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10945
10946,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10946
10947,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10947
10948,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10948
10949,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10949
10955,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10955
10956,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10956
10957,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10957
10958,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10958
10959,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10959
10960,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10960
10961,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10961
10962,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10962
10963,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10963
10964,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10964
10965,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10965
10966,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10966
10967,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10967
10968,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10968
10969,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10969
10970,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10970
110,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/110
11005,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11005
11006,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11006
11007,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11007
11008,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11008
11022,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11022
11031,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11031
11032,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11032
11033,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11033
11044,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11044
11045,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11045
11057,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11057
11058,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11058
11059,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11059
11060,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11060
11092,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11092
11093,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11093
11095,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11095
11096,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11096
11098,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11098
11099,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11099
111,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/111
11100,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11100
11101,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11101
11221,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11221
11228,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11228
11229,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11229
11230,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11230
11231,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11231
11232,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11232
11233,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11233
11400,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11400
11419,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11419
11420,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11420
11421,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11421
11422,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11422
11423,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11423
11457,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11457
11458,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11458
11459,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11459
11461,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11461
11462,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11462
11463,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11463
11464,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11464
11465,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11465
11466,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11466
11467,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11467
11479,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11479
11480,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11480
11481,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11481
11482,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11482
11483,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11483
11486,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11486
11511,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11511
11512,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11512
11513,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11513
11514,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11514
11515,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11515
11562,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11562
11563,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11563
11564,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11564
11565,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11565
11566,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11566
11567,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11567
11587,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11587
11588,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11588
11589,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11589
11590,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11590
11591,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11591
11607,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11607
11608,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11608
11609,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11609
11610,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11610
11612,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11612
11613,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11613
11614,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11614
11615,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11615
11766,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11766
11767,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11767
11768,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11768
11769,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11769
11770,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11770
11771,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11771
11772,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11772
11786,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11786
11787,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11787
11788,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11788
11863,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11863
11864,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11864
11865,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11865
11866,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11866
11867,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11867
11868,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11868
11869,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11869
11870,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11870
11871,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11871
11872,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/11872
12063,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12063
12064,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12064
12122,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12122
12123,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12123
12124,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12124
12125,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12125
12134,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12134
12285,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12285
12286,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12286
12359,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12359
12360,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12360
12361,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12361
12363,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12363
12634,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12634
12635,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12635
12699,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12699
12702,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12702
12703,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12703
12704,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12704
12716,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12716
12717,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12717
12718,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12718
12719,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12719
12721,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12721
12722,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12722
12939,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12939
12957,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12957
12958,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/12958
13115,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13115
13116,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13116
13117,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13117
13118,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13118
13121,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13121
13122,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13122
13123,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13123
13177,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13177
13184,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13184
13185,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13185
13249,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13249
136,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/136
137,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/137
13701,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13701
13702,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13702
13704,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13704
13705,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13705
13706,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13706
13720,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13720
13721,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13721
13722,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13722
13723,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13723
13725,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13725
13726,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13726
13727,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13727
13728,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13728
13730,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13730
13744,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13744
13747,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13747
13752,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13752
13753,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13753
13755,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13755
13761,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/13761
138,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/138
1386,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/1386
1387,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/1387
1389,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/1389
139,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/139
1390,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/1390
1391,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/1391
1392,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/1392
14065,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14065
14067,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14067
14068,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14068
14069,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14069
14155,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14155
14156,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14156
14157,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14157
14202,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14202
14203,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14203
14204,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14204
14205,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14205
14206,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14206
14207,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14207
