年度,リーグ,日時,ホーム,学校H,アウェイ,学校A,得点H,得点A,状態,出典
2014,T1,2014.02.22,帝京,帝京,実践学園,実践学園,1,2,終了,https://koko-soccer.com/score/2
2014,T1,2014.02.22,東京朝鮮中高級学校,東京朝鮮中高級学校,駒澤大学高等学校,駒澤大高,2,4,終了,https://koko-soccer.com/score/2
2014,T1,2014.02.22,横河武蔵野ＦＣユース,横河武蔵野FCユース,都立三鷹,三鷹,4,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.02.23,堀越,堀越,関東一,関東第一,1,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.02.23,ＦＣトリプレッタユース,FCトリプレッタユース,成立学園,成立学園,0,4,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.08,横河武蔵野ＦＣユース,横河武蔵野FCユース,東京朝鮮中高級学校,東京朝鮮中高級学校,4,6,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.08,帝京,帝京,成立学園,成立学園,0,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.08,ＦＣトリプレッタユース,FCトリプレッタユース,堀越,堀越,1,2,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.09,都立三鷹,三鷹,関東一,関東第一,0,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.09,駒澤大学高等学校,駒澤大高,実践学園,実践学園,0,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.12,成立学園,成立学園,駒澤大学高等学校,駒澤大高,2,5,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.15,帝京,帝京,ＦＣトリプレッタユース,FCトリプレッタユース,3,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.15,横河武蔵野ＦＣユース,横河武蔵野FCユース,実践学園,実践学園,0,2,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.19,都立三鷹,三鷹,堀越,堀越,4,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.24,東京朝鮮中高級学校,東京朝鮮中高級学校,関東一,関東第一,2,3,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.22,駒澤大学高等学校,駒澤大高,帝京,帝京,0,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.23,横河武蔵野ＦＣユース,横河武蔵野FCユース,成立学園,成立学園,2,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.23,ＦＣトリプレッタユース,FCトリプレッタユース,都立三鷹,三鷹,1,4,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.28,関東一,関東第一,実践学園,実践学園,1,2,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.29,堀越,堀越,東京朝鮮中高級学校,東京朝鮮中高級学校,2,2,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.02,帝京,帝京,横河武蔵野ＦＣユース,横河武蔵野FCユース,2,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.02,成立学園,成立学園,関東一,関東第一,1,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.02,堀越,堀越,実践学園,実践学園,2,6,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.02,都立三鷹,三鷹,東京朝鮮中高級学校,東京朝鮮中高級学校,1,2,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.02,ＦＣトリプレッタユース,FCトリプレッタユース,駒澤大学高等学校,駒澤大高,3,8,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.09,関東一,関東第一,帝京,帝京,2,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.09,駒澤大学高等学校,駒澤大高,横河武蔵野ＦＣユース,横河武蔵野FCユース,3,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.10,堀越,堀越,成立学園,成立学園,2,4,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.16,東京朝鮮中高級学校,東京朝鮮中高級学校,ＦＣトリプレッタユース,FCトリプレッタユース,2,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.05.06,実践学園,実践学園,都立三鷹,三鷹,2,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.15,帝京,帝京,堀越,堀越,3,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.22,成立学園,成立学園,都立三鷹,三鷹,2,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.23,横河武蔵野ＦＣユース,横河武蔵野FCユース,ＦＣトリプレッタユース,FCトリプレッタユース,4,4,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.28,駒澤大学高等学校,駒澤大高,関東一,関東第一,0,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.30,実践学園,実践学園,東京朝鮮中高級学校,東京朝鮮中高級学校,1,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.16,関東一,関東第一,横河武蔵野ＦＣユース,横河武蔵野FCユース,1,2,終了,https://koko-soccer.com/score/2
2014,T1,2014.05.04,成立学園,成立学園,東京朝鮮中高級学校,東京朝鮮中高級学校,4,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.05.08,堀越,堀越,駒澤大学高等学校,駒澤大高,2,4,終了,https://koko-soccer.com/score/2
2014,T1,2014.05.14,都立三鷹,三鷹,帝京,帝京,2,5,終了,https://koko-soccer.com/score/2
2014,T1,2014.05.14,実践学園,実践学園,ＦＣトリプレッタユース,FCトリプレッタユース,1,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.05.21,堀越,堀越,横河武蔵野ＦＣユース,横河武蔵野FCユース,3,2,終了,https://koko-soccer.com/score/2
2014,T1,2014.05.28,関東一,関東第一,ＦＣトリプレッタユース,FCトリプレッタユース,1,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.05.28,駒澤大学高等学校,駒澤大高,都立三鷹,三鷹,4,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.05.29,帝京,帝京,東京朝鮮中高級学校,東京朝鮮中高級学校,1,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.06.08,実践学園,実践学園,成立学園,成立学園,3,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.06.03,関東一,関東第一,堀越,堀越,1,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.06.04,実践学園,実践学園,帝京,帝京,1,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.06.04,成立学園,成立学園,ＦＣトリプレッタユース,FCトリプレッタユース,3,4,終了,https://koko-soccer.com/score/2
2014,T1,2014.06.10,都立三鷹,三鷹,横河武蔵野ＦＣユース,横河武蔵野FCユース,1,3,終了,https://koko-soccer.com/score/2
2014,T1,2014.06.10,東京朝鮮中高級学校,東京朝鮮中高級学校,駒澤大学高等学校,駒澤大高,0,3,終了,https://koko-soccer.com/score/2
2014,T1,2014.06.18,堀越,堀越,ＦＣトリプレッタユース,FCトリプレッタユース,0,2,終了,https://koko-soccer.com/score/2
2014,T1,2014.06.25,成立学園,成立学園,帝京,帝京,0,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.06.29,実践学園,実践学園,駒澤大学高等学校,駒澤大高,1,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.07.20,東京朝鮮中高級学校,東京朝鮮中高級学校,横河武蔵野ＦＣユース,横河武蔵野FCユース,1,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.11.29,関東一,関東第一,都立三鷹,三鷹,3,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.07.05,実践学園,実践学園,横河武蔵野ＦＣユース,横河武蔵野FCユース,2,2,終了,https://koko-soccer.com/score/2
2014,T1,2014.07.14,駒澤大学高等学校,駒澤大高,成立学園,成立学園,1,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.07.14,ＦＣトリプレッタユース,FCトリプレッタユース,帝京,帝京,1,4,終了,https://koko-soccer.com/score/2
2014,T1,2014.07.24,関東一,関東第一,東京朝鮮中高級学校,東京朝鮮中高級学校,1,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.11.23,堀越,堀越,都立三鷹,三鷹,2,2,終了,https://koko-soccer.com/score/2
2014,T1,2014.07.16,実践学園,実践学園,関東一,関東第一,1,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.07.16,東京朝鮮中高級学校,東京朝鮮中高級学校,堀越,堀越,2,4,終了,https://koko-soccer.com/score/2
2014,T1,2014.07.17,成立学園,成立学園,横河武蔵野ＦＣユース,横河武蔵野FCユース,3,4,終了,https://koko-soccer.com/score/2
2014,T1,2014.07.17,都立三鷹,三鷹,ＦＣトリプレッタユース,FCトリプレッタユース,1,3,終了,https://koko-soccer.com/score/2
2014,T1,2014.07.18,帝京,帝京,駒澤大学高等学校,駒澤大高,2,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.08.04,東京朝鮮中高級学校,東京朝鮮中高級学校,都立三鷹,三鷹,1,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.08.06,横河武蔵野ＦＣユース,横河武蔵野FCユース,帝京,帝京,5,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.08.06,実践学園,実践学園,堀越,堀越,5,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.08.25,駒澤大学高等学校,駒澤大高,ＦＣトリプレッタユース,FCトリプレッタユース,4,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.08.31,関東一,関東第一,成立学園,成立学園,2,3,終了,https://koko-soccer.com/score/2
2014,T1,2014.08.23,実践学園,実践学園,都立三鷹,三鷹,3,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.08.28,成立学園,成立学園,堀越,堀越,5,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.08.28,ＦＣトリプレッタユース,FCトリプレッタユース,東京朝鮮中高級学校,東京朝鮮中高級学校,3,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.09.05,帝京,帝京,関東一,関東第一,1,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.09.14,横河武蔵野ＦＣユース,横河武蔵野FCユース,駒澤大学高等学校,駒澤大高,1,5,終了,https://koko-soccer.com/score/2
2014,T1,2014.09.03,ＦＣトリプレッタユース,FCトリプレッタユース,横河武蔵野ＦＣユース,横河武蔵野FCユース,1,4,終了,https://koko-soccer.com/score/2
2014,T1,2014.09.17,堀越,堀越,帝京,帝京,1,5,終了,https://koko-soccer.com/score/2
2014,T1,2014.09.18,関東一,関東第一,駒澤大学高等学校,駒澤大高,1,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.09.18,都立三鷹,三鷹,成立学園,成立学園,3,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.09.21,東京朝鮮中高級学校,東京朝鮮中高級学校,実践学園,実践学園,2,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.09.24,横河武蔵野ＦＣユース,横河武蔵野FCユース,関東一,関東第一,2,3,終了,https://koko-soccer.com/score/2
2014,T1,2014.09.24,駒澤大学高等学校,駒澤大高,堀越,堀越,5,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.09.25,帝京,帝京,都立三鷹,三鷹,3,2,終了,https://koko-soccer.com/score/2
2014,T1,2014.09.25,成立学園,成立学園,東京朝鮮中高級学校,東京朝鮮中高級学校,1,2,終了,https://koko-soccer.com/score/2
2014,T1,2014.09.25,ＦＣトリプレッタユース,FCトリプレッタユース,実践学園,実践学園,0,5,終了,https://koko-soccer.com/score/2
2014,T1,2014.10.19,東京朝鮮中高級学校,東京朝鮮中高級学校,帝京,帝京,2,2,終了,https://koko-soccer.com/score/2
2014,T1,2014.10.23,ＦＣトリプレッタユース,FCトリプレッタユース,関東一,関東第一,3,2,終了,https://koko-soccer.com/score/2
2014,T1,2014.10.27,都立三鷹,三鷹,駒澤大学高等学校,駒澤大高,0,5,終了,https://koko-soccer.com/score/2
2014,T1,2014.10.30,成立学園,成立学園,実践学園,実践学園,1,2,終了,https://koko-soccer.com/score/2
2014,T1,2014.10.30,横河武蔵野ＦＣユース,横河武蔵野FCユース,堀越,堀越,5,2,終了,https://koko-soccer.com/score/2
2014,T2,2014.02.15,大成,大成,国士舘,国士舘,4,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.02.19,多摩大目黒,多摩大学目黒,都立駒場,駒場,6,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.02.20,日本学園,日本学園,修徳,修徳,0,4,終了,https://koko-soccer.com/score/3
2014,T2,2014.02.20,駿台学園,駿台学園,東京実,東京実,2,3,終了,https://koko-soccer.com/score/3
2014,T2,2014.02.22,東海大高輪台,東海大高輪台,都立東久留米総合,東久留米総合,0,4,終了,https://koko-soccer.com/score/3
2014,T2,2014.03.09,修徳,修徳,都立東久留米総合,東久留米総合,2,5,終了,https://koko-soccer.com/score/3
2014,T2,2014.03.13,国士舘,国士舘,多摩大目黒,多摩大学目黒,0,1,終了,https://koko-soccer.com/score/3
2014,T2,2014.03.15,駿台学園,駿台学園,日本学園,日本学園,1,1,終了,https://koko-soccer.com/score/3
2014,T2,2014.03.18,都立駒場,駒場,東京実,東京実,1,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.04.20,東海大高輪台,東海大高輪台,大成,大成,3,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.03.19,多摩大目黒,多摩大学目黒,東海大高輪台,東海大高輪台,2,1,終了,https://koko-soccer.com/score/3
2014,T2,2014.03.20,都立駒場,駒場,駿台学園,駿台学園,2,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.03.20,東京実,東京実,国士舘,国士舘,1,5,終了,https://koko-soccer.com/score/3
2014,T2,2014.03.21,都立東久留米総合,東久留米総合,日本学園,日本学園,6,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.04.04,大成,大成,修徳,修徳,3,5,終了,https://koko-soccer.com/score/3
2014,T2,2014.03.23,修徳,修徳,多摩大目黒,多摩大学目黒,0,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.03.23,東海大高輪台,東海大高輪台,東京実,東京実,2,1,終了,https://koko-soccer.com/score/3
2014,T2,2014.03.23,国士舘,国士舘,都立駒場,駒場,0,3,終了,https://koko-soccer.com/score/3
2014,T2,2014.03.23,日本学園,日本学園,大成,大成,2,4,終了,https://koko-soccer.com/score/3
2014,T2,2014.03.27,駿台学園,駿台学園,都立東久留米総合,東久留米総合,1,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.04.01,都立駒場,駒場,東海大高輪台,東海大高輪台,1,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.04.01,東京実,東京実,修徳,修徳,2,1,終了,https://koko-soccer.com/score/3
2014,T2,2014.04.01,多摩大目黒,多摩大学目黒,日本学園,日本学園,1,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.04.01,都立東久留米総合,東久留米総合,大成,大成,4,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.04.01,駿台学園,駿台学園,国士舘,国士舘,2,1,終了,https://koko-soccer.com/score/3
2014,T2,2014.04.09,修徳,修徳,都立駒場,駒場,0,1,終了,https://koko-soccer.com/score/3
2014,T2,2014.04.09,国士舘,国士舘,東海大高輪台,東海大高輪台,1,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.04.10,大成,大成,駿台学園,駿台学園,1,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.04.16,都立東久留米総合,東久留米総合,多摩大目黒,多摩大学目黒,1,1,終了,https://koko-soccer.com/score/3
2014,T2,2014.04.16,日本学園,日本学園,東京実,東京実,1,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.04.17,国士舘,国士舘,修徳,修徳,2,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.04.18,都立駒場,駒場,日本学園,日本学園,0,3,終了,https://koko-soccer.com/score/3
2014,T2,2014.04.24,駿台学園,駿台学園,東海大高輪台,東海大高輪台,2,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.04.25,多摩大目黒,多摩大学目黒,大成,大成,6,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.06.08,東京実,東京実,都立東久留米総合,東久留米総合,2,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.05.04,都立東久留米総合,東久留米総合,都立駒場,駒場,2,1,終了,https://koko-soccer.com/score/3
2014,T2,2014.05.07,大成,大成,東京実,東京実,2,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.05.09,日本学園,日本学園,国士舘,国士舘,2,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.07.21,修徳,修徳,東海大高輪台,東海大高輪台,5,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.07.28,駿台学園,駿台学園,多摩大目黒,多摩大学目黒,2,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.05.20,日本学園,日本学園,東海大高輪台,東海大高輪台,1,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.05.21,東京実,東京実,多摩大目黒,多摩大学目黒,1,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.05.29,修徳,修徳,駿台学園,駿台学園,1,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.05.29,国士舘,国士舘,都立東久留米総合,東久留米総合,2,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.09.09,都立駒場,駒場,大成,大成,1,1,終了,https://koko-soccer.com/score/3
2014,T2,2014.06.05,修徳,修徳,日本学園,日本学園,2,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.06.11,都立東久留米総合,東久留米総合,東海大高輪台,東海大高輪台,3,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.06.11,国士舘,国士舘,大成,大成,0,4,終了,https://koko-soccer.com/score/3
2014,T2,2014.08.21,東京実,東京実,駿台学園,駿台学園,2,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.10.07,都立駒場,駒場,多摩大目黒,多摩大学目黒,1,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.06.18,大成,大成,東海大高輪台,東海大高輪台,2,1,終了,https://koko-soccer.com/score/3
2014,T2,2014.06.19,東京実,東京実,都立駒場,駒場,2,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.06.19,日本学園,日本学園,駿台学園,駿台学園,2,4,終了,https://koko-soccer.com/score/3
2014,T2,2014.06.29,都立東久留米総合,東久留米総合,修徳,修徳,3,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.07.22,多摩大目黒,多摩大学目黒,国士舘,国士舘,5,3,終了,https://koko-soccer.com/score/3
2014,T2,2014.07.09,駿台学園,駿台学園,都立駒場,駒場,4,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.07.10,修徳,修徳,大成,大成,0,3,終了,https://koko-soccer.com/score/3
2014,T2,2014.07.13,東海大高輪台,東海大高輪台,多摩大目黒,多摩大学目黒,0,3,終了,https://koko-soccer.com/score/3
2014,T2,2014.07.13,日本学園,日本学園,都立東久留米総合,東久留米総合,3,4,終了,https://koko-soccer.com/score/3
2014,T2,2014.07.14,国士舘,国士舘,東京実,東京実,3,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.07.17,東京実,東京実,東海大高輪台,東海大高輪台,2,1,終了,https://koko-soccer.com/score/3
2014,T2,2014.07.17,大成,大成,日本学園,日本学園,2,1,終了,https://koko-soccer.com/score/3
2014,T2,2014.07.18,都立駒場,駒場,国士舘,国士舘,0,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.07.18,多摩大目黒,多摩大学目黒,修徳,修徳,7,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.07.19,都立東久留米総合,東久留米総合,駿台学園,駿台学園,1,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.08.06,修徳,修徳,東京実,東京実,3,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.08.06,大成,大成,都立東久留米総合,東久留米総合,1,4,終了,https://koko-soccer.com/score/3
2014,T2,2014.08.08,日本学園,日本学園,多摩大目黒,多摩大学目黒,2,3,終了,https://koko-soccer.com/score/3
2014,T2,2014.08.20,東海大高輪台,東海大高輪台,都立駒場,駒場,0,3,終了,https://koko-soccer.com/score/3
2014,T2,2014.08.25,国士舘,国士舘,駿台学園,駿台学園,1,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.08.25,都立駒場,駒場,修徳,修徳,4,1,終了,https://koko-soccer.com/score/3
2014,T2,2014.08.28,東京実,東京実,日本学園,日本学園,3,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.08.29,東海大高輪台,東海大高輪台,国士舘,国士舘,0,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.08.31,多摩大目黒,多摩大学目黒,都立東久留米総合,東久留米総合,1,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.09.04,駿台学園,駿台学園,大成,大成,1,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.09.16,日本学園,日本学園,都立駒場,駒場,2,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.09.17,大成,大成,多摩大目黒,多摩大学目黒,2,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.09.18,修徳,修徳,国士舘,国士舘,0,3,終了,https://koko-soccer.com/score/3
2014,T2,2014.09.21,都立東久留米総合,東久留米総合,東京実,東京実,4,1,終了,https://koko-soccer.com/score/3
2014,T2,2014.09.21,東海大高輪台,東海大高輪台,駿台学園,駿台学園,1,4,終了,https://koko-soccer.com/score/3
2014,T2,2014.09.26,国士舘,国士舘,日本学園,日本学園,1,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.09.28,東海大高輪台,東海大高輪台,修徳,修徳,2,1,終了,https://koko-soccer.com/score/3
2014,T2,2014.09.28,都立駒場,駒場,都立東久留米総合,東久留米総合,1,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.09.28,東京実,東京実,大成,大成,3,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.09.30,多摩大目黒,多摩大学目黒,駿台学園,駿台学園,2,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.10.19,東海大高輪台,東海大高輪台,日本学園,日本学園,3,2,終了,https://koko-soccer.com/score/3
2014,T2,2014.10.24,大成,大成,都立駒場,駒場,1,4,終了,https://koko-soccer.com/score/3
2014,T2,2014.10.26,都立東久留米総合,東久留米総合,国士舘,国士舘,2,0,終了,https://koko-soccer.com/score/3
2014,T2,2014.10.28,駿台学園,駿台学園,修徳,修徳,2,1,終了,https://koko-soccer.com/score/3
2014,T2,2014.10.29,多摩大目黒,多摩大学目黒,東京実,東京実,2,0,終了,https://koko-soccer.com/score/3
2014,T3,2014.04.03,暁星高等学校,暁星,都立石神井,石神井,7,1,終了,https://koko-soccer.com/score/4
2014,T3,2014.04.03,東海大菅生,東海大菅生,FC東京U-18(B),FC東京U-18,0,3,終了,https://koko-soccer.com/score/4
2014,T3,2014.04.03,杉並FCユース,杉並FCユース,実践学園(B),実践学園,0,2,終了,https://koko-soccer.com/score/4
2014,T3,2014.04.03,日大三,日大三,正則学園,正則学園,1,2,終了,https://koko-soccer.com/score/4
2014,T3,2014.04.03,足立学園,足立学園,東農大一,農大一,1,4,終了,https://koko-soccer.com/score/4
2014,T3,2014.04.08,正則学園,正則学園,杉並FCユース,杉並FCユース,0,1,終了,https://koko-soccer.com/score/4
2014,T3,2014.04.09,FC東京U-18(B),FC東京U-18,暁星高等学校,暁星,0,2,終了,https://koko-soccer.com/score/4
2014,T3,2014.04.17,実践学園(B),実践学園,東海大菅生,東海大菅生,2,3,終了,https://koko-soccer.com/score/4
2014,T3,2014.04.19,東農大一,農大一,日大三,日大三,1,2,終了,https://koko-soccer.com/score/4
2014,T3,2014.08.01,都立石神井,石神井,足立学園,足立学園,0,1,終了,https://koko-soccer.com/score/4
2014,T3,2014.05.03,暁星高等学校,暁星,実践学園(B),実践学園,0,0,終了,https://koko-soccer.com/score/4
2014,T3,2014.05.05,日大三,日大三,足立学園,足立学園,2,0,終了,https://koko-soccer.com/score/4
2014,T3,2014.05.06,東海大菅生,東海大菅生,正則学園,正則学園,2,0,終了,https://koko-soccer.com/score/4
2014,T3,2014.05.06,杉並FCユース,杉並FCユース,東農大一,農大一,2,1,終了,https://koko-soccer.com/score/4
2014,T3,2014.05.14,都立石神井,石神井,FC東京U-18(B),FC東京U-18,0,5,終了,https://koko-soccer.com/score/4
2014,T3,2014.06.20,足立学園,足立学園,杉並FCユース,杉並FCユース,0,3,終了,https://koko-soccer.com/score/4
2014,T3,2014.06.22,東農大一,農大一,東海大菅生,東海大菅生,4,2,終了,https://koko-soccer.com/score/4
2014,T3,2014.06.22,日大三,日大三,都立石神井,石神井,0,0,終了,https://koko-soccer.com/score/4
2014,T3,2014.06.27,正則学園,正則学園,暁星高等学校,暁星,4,4,終了,https://koko-soccer.com/score/4
2014,T3,2014.07.02,実践学園（B),実践学園,FC東京U-18(B),FC東京U-18,0,2,終了,https://koko-soccer.com/score/4
2014,T3,2014.07.16,FC東京U-18(B),FC東京U-18,正則学園,正則学園,6,2,終了,https://koko-soccer.com/score/4
2014,T3,2014.07.17,暁星高等学校,暁星,東農大一,農大一,3,0,終了,https://koko-soccer.com/score/4
2014,T3,2014.07.20,東海大菅生,東海大菅生,足立学園,足立学園,2,1,終了,https://koko-soccer.com/score/4
2014,T3,2014.07.20,杉並FCユース,杉並FCユース,日大三,日大三,2,0,終了,https://koko-soccer.com/score/4
2014,T3,2014.07.24,都立石神井,石神井,実践学園（B),実践学園,1,3,終了,https://koko-soccer.com/score/4
2014,T3,2014.07.23,東農大一,農大一,FC東京U-18(B),FC東京U-18,0,0,終了,https://koko-soccer.com/score/4
2014,T3,2014.08.05,日大三,日大三,東海大菅生,東海大菅生,2,4,終了,https://koko-soccer.com/score/4
2014,T3,2014.08.08,実践学園（B),実践学園,正則学園,正則学園,2,0,終了,https://koko-soccer.com/score/4
2014,T3,2014.08.21,都立石神井,石神井,杉並FCユース,杉並FCユース,5,2,終了,https://koko-soccer.com/score/4
2014,T3,2014.08.28,足立学園,足立学園,暁星高等学校,暁星,2,8,終了,https://koko-soccer.com/score/4
2014,T3,2014.08.24,実践学園（B),実践学園,東農大一,農大一,1,2,終了,https://koko-soccer.com/score/4
2014,T3,2014.08.29,杉並FCユース,杉並FCユース,東海大菅生,東海大菅生,3,7,終了,https://koko-soccer.com/score/4
2014,T3,2014.09.02,暁星高等学校,暁星,日大三,日大三,2,0,終了,https://koko-soccer.com/score/4
2014,T3,2014.09.10,FC東京U-18(B),FC東京U-18,足立学園,足立学園,3,0,終了,https://koko-soccer.com/score/4
2014,T3,2014.09.23,東海大菅生,東海大菅生,都立石神井,石神井,3,0,終了,https://koko-soccer.com/score/4
2014,T3,2014.09.23,足立学園,足立学園,実践学園(B),実践学園,2,4,終了,https://koko-soccer.com/score/4
2014,T3,2014.09.25,東農大一,農大一,正則学園,正則学園,1,4,終了,https://koko-soccer.com/score/4
2014,T3,2014.09.27,杉並FCユース,杉並FCユース,暁星高等学校,暁星,0,2,終了,https://koko-soccer.com/score/4
2014,T3,2014.10.01,暁星高等学校,暁星,東海大菅生,東海大菅生,2,2,終了,https://koko-soccer.com/score/4
2014,T3,2014.10.01,FC東京U-18(B),FC東京U-18,杉並FCユース,杉並FCユース,5,0,終了,https://koko-soccer.com/score/4
2014,T3,2014.10.01,実践学園（B),実践学園,日大三,日大三,0,3,終了,https://koko-soccer.com/score/4
2014,T3,2014.10.01,正則学園,正則学園,足立学園,足立学園,0,4,終了,https://koko-soccer.com/score/4
2014,T3,2014.10.17,都立石神井,石神井,東農大一,農大一,3,3,終了,https://koko-soccer.com/score/4
2014,T3,2014.04.03,早稲田実業,早稲田実業,東京,東京,6,0,終了,https://koko-soccer.com/score/7
2014,T3,2014.04.03,かえつ有明,かえつ有明,大東大一,大東大一,3,3,終了,https://koko-soccer.com/score/7
2014,T3,2014.04.03,都立国分寺,国分寺,武蔵,武蔵,0,2,終了,https://koko-soccer.com/score/7
2014,T3,2014.04.03,都立東大和南,東大和南,都立日野台,日野台,2,0,終了,https://koko-soccer.com/score/7
2014,T3,2014.04.03,保善,保善,東京成徳大高,東京成徳大高,1,2,終了,https://koko-soccer.com/score/7
