地区,リーグ,年度,部,節,日付,ホーム,アウェイ,ホーム得点,アウェイ得点,実施,ホーム学校,ホーム区分,アウェイ学校,アウェイ区分,出典
第1地区,リバーサイドユースリーグ,2024,1部,,,葛飾野B,東京23FC,14,1,済,葛飾野,B,東京23FC,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,,深川A,東京23FC,3,1,済,深川,A,東京23FC,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-04-03,南葛飾A,紅葉川A,4,3,済,南葛飾,A,紅葉川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-04-03,葛飾野B,東B,0,0,済,葛飾野,B,東,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-04-04,深川A,小松川,1,1,済,深川,A,小松川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-04-14,江戸川A,紅葉川A,4,3,済,江戸川,A,紅葉川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-04-14,深川A,南葛SC,1,2,済,深川,A,南葛SC,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-04-17,東京23FC,小松川,0,1,済,東京23FC,A,小松川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-05-06,城東B,深川A,0,3,済,城東,B,深川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-05-06,東B,南葛飾A,0,4,済,東,B,南葛飾,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-05-18,南葛飾A,南葛SC,1,0,済,南葛飾,A,南葛SC,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-05-26,小松川,葛飾野B,4,0,済,小松川,A,葛飾野,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-06-09,江戸川A,深川A,1,2,済,江戸川,A,深川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-06-09,城東B,南葛飾A,0,2,済,城東,B,南葛飾,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-06-09,小松川,紅葉川A,0,6,済,小松川,A,紅葉川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-06-09,南葛SC,葛飾野B,6,1,済,南葛SC,A,葛飾野,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-06-15,南葛飾A,小松川,5,2,済,南葛飾,A,小松川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-06-16,東B,東京23FC,0,4,済,東,B,東京23FC,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-06-16,葛飾野B,城東B,2,1,済,葛飾野,B,城東,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-06-16,紅葉川A,南葛SC,4,2,済,紅葉川,A,南葛SC,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-06-22,東京23FC,江戸川A,2,13,済,東京23FC,A,江戸川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-06-30,南葛SC,東京23FC,11,1,済,南葛SC,A,東京23FC,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-07-18,深川A,東B,7,0,済,深川,A,東,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-07-20,江戸川A,城東B,2,2,済,江戸川,A,城東,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-07-22,葛飾野B,紅葉川A,1,3,済,葛飾野,B,紅葉川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-08-06,東B,江戸川A,1,2,済,東,B,江戸川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-08-08,東京23FC,城東B,1,6,済,東京23FC,A,城東,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-09-18,城東B,小松川,1,0,済,城東,B,小松川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-09-23,江戸川A,南葛飾A,0,5,済,江戸川,A,南葛飾,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-09-23,深川A,葛飾野B,3,2,済,深川,A,葛飾野,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-09-29,城東B,東B,2,1,済,城東,B,東,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-10-01,深川A,紅葉川A,3,0,済,深川,A,紅葉川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-10-01,小松川,江戸川A,6,1,済,小松川,A,江戸川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-10-01,南葛飾A,葛飾野B,3,1,済,南葛飾,A,葛飾野,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-10-06,江戸川A,南葛SC,0,9,済,江戸川,A,南葛SC,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-10-12,葛飾野B,江戸川A,2,1,済,葛飾野,B,江戸川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-10-20,紅葉川A,東京23FC,2,0,済,紅葉川,A,東京23FC,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-10-27,東京23FC,南葛飾A,1,6,済,東京23FC,A,南葛飾,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-11-03,南葛飾A,深川A,4,1,済,南葛飾,A,深川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-11-03,南葛SC,小松川,7,1,済,南葛SC,A,小松川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-11-04,城東B,紅葉川A,1,2,済,城東,B,紅葉川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-11-10,東B,小松川,0,1,済,東,B,小松川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-11-24,南葛SC,東B,6,0,済,南葛SC,A,東,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-12-08,城東B,南葛SC,0,12,済,城東,B,南葛SC,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-12-22,紅葉川A,東B,2,0,済,紅葉川,A,東,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,2部A,,,墨田川,修徳D,2,5,済,墨田川,A,修徳,D,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-04-02,共栄学園,紅葉川Ｉ,2,2,済,共栄学園,A,紅葉川,I,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-04-02,葛飾商業,安田学園,1,3,済,葛飾商業,A,安田学園,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-04-03,修徳D,江戸川B,5,0,済,修徳,D,江戸川,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-04-06,墨田川,江戸川B,5,1,済,墨田川,A,江戸川,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-04-10,共栄学園,修徳D,1,3,済,共栄学園,A,修徳,D,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-04-13,葛飾商業,修徳D,0,1,済,葛飾商業,A,修徳,D,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-04-14,江戸川B,開成A,0,6,済,江戸川,B,開成,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-04-14,安田学園,かえつ有明C,2,2,済,安田学園,A,かえつ有明,C,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-04-27,かえつ有明C,紅葉川Ｉ,4,1,済,かえつ有明,C,紅葉川,I,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-05-05,開成A,かえつ有明C,1,3,済,開成,A,かえつ有明,C,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-05-11,共栄学園,かえつ有明C,1,2,済,共栄学園,A,かえつ有明,C,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-05-12,葛飾商業,江戸川B,2,0,済,葛飾商業,A,江戸川,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-05-26,紅葉川Ｉ,墨田川,2,5,済,紅葉川,I,墨田川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-06-02,共栄学園,墨田川,2,4,済,共栄学園,A,墨田川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-06-08,修徳D,紅葉川Ｉ,0,0,済,修徳,D,紅葉川,I,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-06-09,安田学園,江戸川B,1,0,済,安田学園,A,江戸川,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-06-09,かえつ有明C,墨田川,2,1,済,かえつ有明,C,墨田川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-06-09,開成A,葛飾商業,3,0,済,開成,A,葛飾商業,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-06-16,紅葉川Ｉ,安田学園,3,0,済,紅葉川,I,安田学園,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-06-16,江戸川B,共栄学園,2,1,済,江戸川,B,共栄学園,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-06-22,江戸川B,かえつ有明C,2,5,済,江戸川,B,かえつ有明,C,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-06-22,開成A,修徳D,0,1,済,開成,A,修徳,D,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-06-30,修徳D,安田学園,3,0,済,修徳,D,安田学園,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-07-22,開成A,紅葉川Ｉ,5,1,済,開成,A,紅葉川,I,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-07-30,墨田川,葛飾商業,2,0,済,墨田川,A,葛飾商業,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-09-07,かえつ有明C,修徳D,2,4,済,かえつ有明,C,修徳,D,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-09-16,安田学園,開成A,0,0,済,安田学園,A,開成,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-09-21,紅葉川Ｉ,葛飾商業,1,2,済,紅葉川,I,葛飾商業,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-09-22,安田学園,墨田川,0,1,済,安田学園,A,墨田川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-09-28,墨田川,開成A,0,1,済,墨田川,A,開成,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-09-28,かえつ有明C,葛飾商業,5,2,済,かえつ有明,C,葛飾商業,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-10-01,安田学園,共栄学園,6,1,済,安田学園,A,共栄学園,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-10-14,江戸川B,紅葉川Ｉ,1,7,済,江戸川,B,紅葉川,I,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-10-27,葛飾商業,共栄学園,1,2,済,葛飾商業,A,共栄学園,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-11-23,開成A,共栄学園,3,0,済,開成,A,共栄学園,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-04-03,深川B,葛飾野C,0,4,済,深川,B,葛飾野,C,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-04-04,篠崎,両国,3,5,済,篠崎,A,両国,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-04-05,葛飾総合,開成B,3,0,済,葛飾総合,A,開成,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-04-06,日本大学第一,篠崎,4,4,済,日大一,A,篠崎,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-04-07,深川B,両国,0,7,済,深川,B,両国,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-04-13,かえつ有明B,日本大学第一,7,0,済,かえつ有明,B,日大一,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-04-13,葛飾総合,両国,0,0,済,葛飾総合,A,両国,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-04-14,篠崎,葛飾野C,2,2,済,篠崎,A,葛飾野,C,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-04-14,深川B,南葛飾B,1,0,済,深川,B,南葛飾,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-04-20,葛飾野C,かえつ有明B,0,5,済,葛飾野,C,かえつ有明,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-04-27,開成B,深川B,0,3,済,開成,B,深川,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-05-03,葛飾総合,墨田工科,2,0,済,葛飾総合,A,墨田工科,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-05-05,篠崎,南葛飾B,1,3,済,篠崎,A,南葛飾,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-05-05,かえつ有明B,開成B,7,0,済,かえつ有明,B,開成,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-05-11,墨田工科,南葛飾B,2,0,済,墨田工科,A,南葛飾,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-05-12,両国,葛飾野C,0,0,済,両国,A,葛飾野,C,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-05-26,葛飾総合,南葛飾B,0,7,済,葛飾総合,A,南葛飾,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-06-02,墨田工科,葛飾野C,0,2,済,墨田工科,A,葛飾野,C,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-06-08,かえつ有明B,葛飾総合,7,0,済,かえつ有明,B,葛飾総合,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-06-09,日本大学第一,両国,1,2,済,日大一,A,両国,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-06-22,深川B,日本大学第一,1,2,済,深川,B,日大一,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-06-22,葛飾総合,篠崎,5,3,済,葛飾総合,A,篠崎,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-06-29,南葛飾B,かえつ有明B,1,7,済,南葛飾,B,かえつ有明,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-09-07,葛飾総合,葛飾野C,0,4,済,葛飾総合,A,葛飾野,C,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-09-14,墨田工科,かえつ有明B,1,18,済,墨田工科,A,かえつ有明,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-09-15,両国,開成B,4,1,済,両国,A,開成,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-09-22,墨田工科,日本大学第一,2,1,済,墨田工科,A,日大一,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-09-22,葛飾野C,南葛飾B,3,4,済,葛飾野,C,南葛飾,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-09-29,篠崎,かえつ有明B,0,12,済,篠崎,A,かえつ有明,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-09-29,両国,南葛飾B,1,0,済,両国,A,南葛飾,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-09-29,開成B,葛飾野C,1,3,済,開成,B,葛飾野,C,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-10-01,深川B,篠崎,4,1,済,深川,B,篠崎,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-10-06,両国,墨田工科,7,0,済,両国,A,墨田工科,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-10-12,葛飾野C,日本大学第一,5,4,済,葛飾野,C,日大一,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-10-27,開成B,墨田工科,3,0,済,開成,B,墨田工科,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-11-03,両国,かえつ有明B,0,0,済,両国,A,かえつ有明,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-11-03,開成B,南葛飾B,0,9,済,開成,B,南葛飾,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-11-10,南葛飾B,日本大学第一,3,1,済,南葛飾,B,日大一,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-11-16,かえつ有明B,深川B,5,0,済,かえつ有明,B,深川,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-11-17,日本大学第一,開成B,8,3,済,日大一,A,開成,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2024,2部B,,2024-12-14,墨田工科,篠崎,1,0,済,墨田工科,A,篠崎,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172
第1地区,リバーサイドユースリーグ,2026,1部,第1節,2026-05-06,修徳高校Ｃ,墨田川高校,3,0,済,修徳,C,墨田川,A,https://riverside-league.com/schedule_division1.html
第1地区,リバーサイドユースリーグ,2026,1部,第1節,2026-05-10,都立紅葉川高校,東京２３ＦＣ　Ｕ－１８,3,0,済,紅葉川,A,東京23FCU-18,A,https://riverside-league.com/schedule_division1.html
第1地区,リバーサイドユースリーグ,2026,1部,第1節,2026-04-04,かえつ有明高等学校Ｂ,都立小松川高校,2,1,済,かえつ有明,B,小松川,A,https://riverside-league.com/schedule_division1.html
第1地区,リバーサイドユースリーグ,2026,1部,第1節,2026-04-03,都立深川高等学校,都立江戸川高等学校,5,1,済,深川,A,江戸川,A,https://riverside-league.com/schedule_division1.html
第1地区,リバーサイドユースリーグ,2026,1部,第1節,2026-04-03,城東Ｂ,開成,0,5,済,城東,B,開成,A,https://riverside-league.com/schedule_division1.html
第1地区,リバーサイドユースリーグ,2026,1部,第2節,2026-04-05,開成,修徳高校Ｃ,4,1,済,開成,A,修徳,C,https://riverside-league.com/schedule_division1.html
第1地区,リバーサイドユースリーグ,2026,1部,第2節,2026-04-11,墨田川高校,都立紅葉川高校,0,1,済,墨田川,A,紅葉川,A,https://riverside-league.com/schedule_division1.html
第1地区,リバーサイドユースリーグ,2026,1部,第2節,2026-04-11,都立江戸川高等学校,かえつ有明高等学校Ｂ,2,3,済,江戸川,A,かえつ有明,B,https://riverside-league.com/schedule_division1.html
第1地区,リバーサイドユースリーグ,2026,1部,第2節,2026-04-11,東京２３ＦＣ　Ｕ－１８,都立深川高等学校,1,1,済,東京23FCU-18,A,深川,A,https://riverside-league.com/schedule_division1.html
第1地区,リバーサイドユースリーグ,2026,1部,第2節,2026-04-12,城東Ｂ,都立小松川高校,0,4,済,城東,B,小松川,A,https://riverside-league.com/schedule_division1.html
第1地区,リバーサイドユースリーグ,2026,1部,第3節,2026-04-19,修徳高校Ｃ,東京２３ＦＣ　Ｕ－１８,4,1,済,修徳,C,東京23FCU-18,A,https://riverside-league.com/schedule_division1.html
第1地区,リバーサイドユースリーグ,2026,1部,第3節,2026-04-19,都立紅葉川高校,開成,2,1,済,紅葉川,A,開成,A,https://riverside-league.com/schedule_division1.html
第1地区,リバーサイドユースリーグ,2026,1部,第3節,2026-04-11,かえつ有明高等学校Ｂ,墨田川高校,1,3,済,かえつ有明,B,墨田川,A,https://riverside-league.com/schedule_division1.html
第1地区,リバーサイドユースリーグ,2026,1部,第3節,2026-04-18,都立深川高等学校,都立小松川高校,0,1,済,深川,A,小松川,A,https://riverside-league.com/schedule_division1.html
第1地区,リバーサイドユースリーグ,2026,1部,第3節,2026-04-19,都立江戸川高等学校,城東Ｂ,2,2,済,江戸川,A,城東,B,https://riverside-league.com/schedule_division1.html
第1地区,リバーサイドユースリーグ,2026,1部,第4節,2026-05-16,城東Ｂ,修徳高校Ｃ,1,4,済,城東,B,修徳,C,https://riverside-league.com/schedule_division1.html
第1地区,リバーサイドユースリーグ,2026,1部,第4節,2026-05-17,都立江戸川高等学校,都立紅葉川高校,1,10,済,江戸川,A,紅葉川,A,https://riverside-league.com/schedule_division1.html
第1地区,リバーサイドユースリーグ,2026,1部,第4節,2026-06-28,開成,かえつ有明高等学校Ｂ,2,4,済,開成,A,かえつ有明,B,https://riverside-league.com/schedule_division1.html
第1地区,リバーサイドユースリーグ,2026,1部,第4節,2026-05-24,墨田川高校,都立深川高等学校,0,4,済,墨田川,A,深川,A,https://riverside-league.com/schedule_division1.html
第1地区,リバーサイドユースリーグ,2026,1部,第4節,2026-05-17,東京２３ＦＣ　Ｕ－１８,都立小松川高校,2,0,済,東京23FCU-18,A,小松川,A,https://riverside-league.com/schedule_division1.html
第1地区,リバーサイドユースリーグ,2026,1部,第5節,2026-06-07,修徳高校Ｃ,都立江戸川高等学校,14,0,済,修徳,C,江戸川,A,https://riverside-league.com/schedule_division1.html
第1地区,リバーサイドユースリーグ,2026,1部,第5節,2026-05-30,都立紅葉川高校,城東Ｂ,1,0,済,紅葉川,A,城東,B,https://riverside-league.com/schedule_division1.html
第1地区,リバーサイドユースリーグ,2026,1部,第5節,2026-06-06,かえつ有明高等学校Ｂ,東京２３ＦＣ　Ｕ－１８,2,2,済,かえつ有明,B,東京23FCU-18,A,https://riverside-league.com/schedule_division1.html
第1地区,リバーサイドユースリーグ,2026,1部,第5節,2026-06-06,都立深川高等学校,開成,3,2,済,深川,A,開成,A,https://riverside-league.com/schedule_division1.html
